ID	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	d
ITGB2	8.14449937045468e-237	0.6702263438602784	0.372	0.066	1.8939218836055313e-232	nonMalignant	ITGB2	0.306
TPM4	4.5833577873113944e-235	0.8672419627808403	0.439	0.116	1.0658140198613917e-230	nonMalignant	TPM4	0.323
DDIT4	3.4280745040477393e-230	1.086453410380319	0.523	0.226	7.971644451712614e-226	nonMalignant	DDIT4	0.29700000000000004
ACTB	2.6451247415359398e-229	1.2428496094213526	0.997	0.979	6.150973073967674e-225	nonMalignant	ACTB	0.018000000000000016
LRRFIP1	2.5623841588326364e-228	0.7129211691143198	0.478	0.162	5.958568122949413e-224	nonMalignant	LRRFIP1	0.31599999999999995
GPSM3	4.0983873529704454e-228	0.5280110377992373	0.314	0.043	9.530389950597475e-224	nonMalignant	GPSM3	0.271
CD37	1.9447205191767745e-227	0.532566567495417	0.312	0.042	4.522253095293671e-223	nonMalignant	CD37	0.27
PSMB9	4.296646777901716e-227	0.8508666865524953	0.548	0.284	9.99142241733265e-223	nonMalignant	PSMB9	0.26400000000000007
CD44	9.402284029253237e-227	0.6261458575880484	0.354	0.064	2.1864071281625477e-222	nonMalignant	CD44	0.29
APOBEC3C	9.9026227771434e-227	0.54830244493084	0.283	0.031	2.3027559005969262e-222	nonMalignant	APOBEC3C	0.252
HCLS1	7.339198289194896e-226	0.46218578584397974	0.303	0.038	1.706657170169381e-221	nonMalignant	HCLS1	0.265
FXYD5	3.265070957389692e-225	0.7164282289498367	0.416	0.109	7.592596004313989e-221	nonMalignant	FXYD5	0.307
CD48	2.739028793801429e-223	0.5248431614051566	0.286	0.032	6.369337557105843e-219	nonMalignant	CD48	0.254
KLRB1	3.039143346761222e-218	1.135523599687009	0.265	0.033	7.067223938558545e-214	nonMalignant	KLRB1	0.232
MSN	4.0370104393212547e-218	0.5720898880917052	0.373	0.078	9.387664075597646e-214	nonMalignant	MSN	0.295
TRBC1	9.967929858131336e-217	0.9830629363717014	0.286	0.04	2.3179424092098608e-212	nonMalignant	TRBC1	0.24599999999999997
CD3G	1.0408463063392376e-213	0.6348354427638676	0.278	0.034	2.4203840007612633e-209	nonMalignant	CD3G	0.24400000000000002
MALAT1	2.480093374271722e-212	0.9573842431488844	0.999	0.966	5.767209132531463e-208	nonMalignant	MALAT1	0.03300000000000003
PTMA	3.77233157890609e-210	0.9714344416021063	0.994	0.991	8.772179853588222e-206	nonMalignant	PTMA	0.0030000000000000027
CYBA	2.660792011685918e-209	0.8422831409393715	0.59	0.225	6.187405743974433e-205	nonMalignant	CYBA	0.365
TUBA1A	7.326548823428302e-209	0.5800926095094336	0.327	0.055	1.7037156634000174e-204	nonMalignant	TUBA1A	0.272
APOBEC3G	1.3378026734651904e-208	0.4765107252744731	0.252	0.025	3.1109263368759538e-204	nonMalignant	APOBEC3G	0.227
SARAF	2.5608396749414025e-208	0.7667687321167724	0.58	0.308	5.954976580108737e-204	nonMalignant	SARAF	0.27199999999999996
CLEC2B	8.427068857376676e-208	0.729985920509026	0.37	0.098	1.959630592094372e-203	nonMalignant	CLEC2B	0.272
REL	3.6004781567849285e-204	0.6992503533427943	0.329	0.069	8.372551905787673e-200	nonMalignant	REL	0.26
TUBA1B	1.0230716826482236e-200	1.278999055852377	0.768	0.71	2.379050890830179e-196	nonMalignant	TUBA1B	0.05800000000000005
CD7	5.794311142114655e-200	0.8987408286750681	0.345	0.088	1.347409112987342e-195	nonMalignant	CD7	0.257
CFL1	1.6075194135229786e-199	0.8550472288101489	0.935	0.905	3.738125644206334e-195	nonMalignant	CFL1	0.030000000000000027
DUSP2	1.4411385277211973e-195	0.9285183786798081	0.366	0.09	3.3512235323628723e-191	nonMalignant	DUSP2	0.276
HLA-F	2.613843076861676e-195	0.6080501509199727	0.393	0.108	6.078230690934141e-191	nonMalignant	HLA-F	0.28500000000000003
RGCC	1.7187700363199202e-193	0.8595557377948982	0.301	0.057	3.996827842458343e-189	nonMalignant	RGCC	0.244
RPS29	5.253027281775088e-193	0.6638798344101575	0.999	0.981	1.221538964103979e-188	nonMalignant	RPS29	0.018000000000000016
ANP32B	4.618971730482583e-190	0.7498821579812684	0.456	0.242	1.0740956862064198e-185	nonMalignant	ANP32B	0.21400000000000002
ADGRE5	5.103498201332485e-190	0.5002616729349452	0.289	0.047	1.186767471737856e-185	nonMalignant	ADGRE5	0.242
ITM2A	1.009816870965882e-189	0.9305076305565689	0.364	0.085	2.348228151744062e-185	nonMalignant	ITM2A	0.27899999999999997
NUSAP1	4.194993907399537e-189	0.8723340911446826	0.346	0.101	9.755038832266883e-185	nonMalignant	NUSAP1	0.24499999999999997
S100A6	9.750216251103033e-189	1.123841789532954	0.686	0.373	2.2673152870314994e-184	nonMalignant	S100A6	0.31300000000000006
CCND3	1.484438756646083e-188	0.4376554544706875	0.275	0.042	3.451913884704802e-184	nonMalignant	CCND3	0.233
JUNB	4.5627177423306083e-188	1.0732132910286807	0.551	0.278	1.0610143838015596e-183	nonMalignant	JUNB	0.273
STK17B	3.1048763501170204e-187	0.5097429279659815	0.314	0.062	7.2200794645621195e-183	nonMalignant	STK17B	0.252
FYN	2.0856444874297823e-186	0.463827493038329	0.295	0.053	4.849957691069216e-182	nonMalignant	FYN	0.242
SAT1	9.85748687732732e-186	0.9650719841206457	0.861	0.71	2.2922599984536948e-181	nonMalignant	SAT1	0.15100000000000002
TNFAIP3	1.1802513007484979e-185	0.7555765505587615	0.396	0.119	2.744556374760557e-181	nonMalignant	TNFAIP3	0.277
SH3KBP1	1.5468545540421207e-182	0.49201881093516325	0.297	0.056	3.597055579969548e-178	nonMalignant	SH3KBP1	0.241
SRSF7	3.6591606146143006e-179	0.7312740501285132	0.537	0.291	8.509012093224095e-175	nonMalignant	SRSF7	0.24600000000000005
PMAIP1	8.939953611151018e-179	0.6844694086439108	0.288	0.055	2.0788968127370576e-174	nonMalignant	PMAIP1	0.23299999999999998
SEPT7	4.236202117767423e-176	0.6644099379601062	0.478	0.279	9.850864404656365e-172	nonMalignant	SEPT7	0.19899999999999995
IFITM1	4.3454998162595566e-176	0.7609671913776846	0.255	0.04	1.0105025272729973e-171	nonMalignant	IFITM1	0.215
CD74	1.2329418327478644e-174	1.0957918515116263	0.939	0.768	2.8670829378718837e-170	nonMalignant	CD74	0.17099999999999993
ASS1	4.406763754117892e-174	0.38761333401698583	0.218	0.326	1.0247488433825747e-169	nonMalignant	ASS1	-0.10800000000000001
CENPF	4.981321000712321e-173	0.8074313843347365	0.295	0.061	1.1583563855056432e-168	nonMalignant	CENPF	0.23399999999999999
ANXA4	1.8290619306253553e-172	0.9806543570533516	0.312	0.358	4.253300613476201e-168	nonMalignant	ANXA4	-0.045999999999999985
TOP2A	8.358143691156994e-171	0.9284665546018873	0.347	0.102	1.9436027339416475e-166	nonMalignant	TOP2A	0.245
H2AFV	2.4637803016278427e-170	0.723596078992929	0.391	0.248	5.729274713405385e-166	nonMalignant	H2AFV	0.14300000000000002
HNRNPA1	5.46453330311893e-168	0.7286459921827209	0.907	0.816	1.2707225743072761e-163	nonMalignant	HNRNPA1	0.09100000000000008
ARL6IP5	1.258405585703795e-167	0.5944058332592735	0.44	0.178	2.926296348995605e-163	nonMalignant	ARL6IP5	0.262
LIMD2	1.0962460109267916e-166	0.5031238425602681	0.287	0.056	2.549210473809161e-162	nonMalignant	LIMD2	0.23099999999999998
MBNL1	1.4602739319407372e-166	0.509012697849696	0.353	0.093	3.3957210013349903e-162	nonMalignant	MBNL1	0.26
NR4A2	5.605960729021873e-165	0.5201149472889012	0.254	0.042	1.3036101079267463e-160	nonMalignant	NR4A2	0.212
RGS10	1.4531251371670155e-164	0.4258389452512351	0.269	0.046	3.379097193968178e-160	nonMalignant	RGS10	0.22300000000000003
TYMS	1.1805547244352883e-163	0.6904553699917553	0.288	0.087	2.7452619562018197e-159	nonMalignant	TYMS	0.20099999999999998
SMC4	1.550859745215366e-163	0.7044206725104025	0.351	0.113	3.6063692515238123e-159	nonMalignant	SMC4	0.238
DEK	3.983101713501816e-161	0.7355121311221816	0.495	0.29	9.262304724577122e-157	nonMalignant	DEK	0.20500000000000002
AKAP13	1.2073111448436195e-160	0.4874150633519667	0.352	0.095	2.8074813362193527e-156	nonMalignant	AKAP13	0.257
CIRBP	6.094376760533412e-159	0.6447133148623877	0.579	0.321	1.4171863718944396e-154	nonMalignant	CIRBP	0.25799999999999995
EMP3	1.0075805554026556e-158	0.7848872064013185	0.406	0.141	2.3430278235333354e-154	nonMalignant	EMP3	0.265
H3F3B	1.3364235246703972e-158	0.8060388510898471	0.898	0.878	3.107719264268542e-154	nonMalignant	H3F3B	0.020000000000000018
CCNI	3.775629867128294e-155	0.6189771894988053	0.517	0.276	8.779849693020135e-151	nonMalignant	CCNI	0.241
SON	5.442503263486037e-155	0.635132954710523	0.535	0.271	1.265599708891043e-150	nonMalignant	SON	0.264
ACTR3	3.696485563289484e-154	0.6122978368622831	0.484	0.245	8.595807528873366e-150	nonMalignant	ACTR3	0.239
RBMX	2.138766048660639e-153	0.6048325900148539	0.496	0.25	4.97348656955545e-149	nonMalignant	RBMX	0.246
CNOT6L	3.668774575012509e-152	0.3961694388291544	0.258	0.047	8.531368396734088e-148	nonMalignant	CNOT6L	0.21100000000000002
FNBP1	1.4758480521281546e-150	0.42317677899072736	0.291	0.064	3.431937060418811e-146	nonMalignant	FNBP1	0.22699999999999998
TMSB10	2.091455871392327e-149	0.7755795360698778	0.987	0.951	4.863471483335717e-145	nonMalignant	TMSB10	0.03600000000000003
TMPO	3.3157276562759796e-149	0.662250661248669	0.341	0.117	7.710393091904163e-145	nonMalignant	TMPO	0.22400000000000003
RPS3	1.3460266721626724e-148	0.6115572977094059	0.989	0.96	3.1300504234470784e-144	nonMalignant	RPS3	0.029000000000000026
RRM2	1.6632301454960435e-148	0.6461115857292719	0.274	0.069	3.867675380336499e-144	nonMalignant	RRM2	0.20500000000000002
BUB3	3.712030493394578e-148	0.5741894985401103	0.411	0.216	8.631955709339751e-144	nonMalignant	BUB3	0.19499999999999998
PPP1R18	8.11808346510162e-147	0.39565224595873255	0.266	0.056	1.8877791289747308e-142	nonMalignant	PPP1R18	0.21000000000000002
ANXA1	1.7093141760507165e-146	0.8438993682493829	0.384	0.123	3.974839184988336e-142	nonMalignant	ANXA1	0.261
ARL6IP1	2.4833969262857157e-146	0.7872770523940986	0.662	0.485	5.774891212384804e-142	nonMalignant	ARL6IP1	0.17700000000000005
SMAP2	2.4604709472869074e-145	0.4772049836684768	0.313	0.09	5.721579140820974e-141	nonMalignant	SMAP2	0.223
H2AFZ	3.946865695690569e-144	0.8284415515553658	0.655	0.64	9.17804148875885e-140	nonMalignant	H2AFZ	0.015000000000000013
STK17A	4.2393964881582115e-144	0.46994401827220617	0.291	0.074	9.858292593563105e-140	nonMalignant	STK17A	0.21699999999999997
HNRNPA2B1	1.4204222266369837e-143	0.6369122755685801	0.884	0.844	3.303049845821642e-139	nonMalignant	HNRNPA2B1	0.040000000000000036
RGS2	6.948484705683385e-143	0.8661594587497923	0.382	0.136	1.6158006334596143e-138	nonMalignant	RGS2	0.246
HLA-DRB1	5.63111727960925e-142	1.0444913159124976	0.627	0.385	1.309460012200335e-137	nonMalignant	HLA-DRB1	0.242
HNRNPD	6.960952141495338e-142	0.6260938677564554	0.408	0.196	1.6186998109833258e-137	nonMalignant	HNRNPD	0.21199999999999997
ZNF331	5.2031779969202225e-141	0.5611615708290278	0.274	0.066	1.2099470114038285e-136	nonMalignant	ZNF331	0.20800000000000002
CALM3	8.354589163683904e-139	0.5414561661453686	0.549	0.439	1.942776164123055e-134	nonMalignant	CALM3	0.11000000000000004
TERF2IP	1.0962064256327081e-138	0.47134730450477896	0.363	0.125	2.5491184221662994e-134	nonMalignant	TERF2IP	0.238
PSMB8	2.5328973003430647e-137	0.5639559056056065	0.471	0.257	5.889999382217763e-133	nonMalignant	PSMB8	0.21399999999999997
CCNH	2.540214963367087e-137	0.47704911873238187	0.31	0.103	5.907015875813824e-133	nonMalignant	CCNH	0.20700000000000002
LITAF	1.1999037362203484e-136	0.5691657975416062	0.464	0.225	2.790256148206798e-132	nonMalignant	LITAF	0.23900000000000002
LEPROTL1	2.1986923738748797e-136	0.5148337925533355	0.393	0.164	5.112839246208645e-132	nonMalignant	LEPROTL1	0.229
IGHG3	7.238935894054551e-135	0.5576294294054351	0.345	0.116	1.6833421528034453e-130	nonMalignant	IGHG3	0.22899999999999998
HRSP12	3.096005362611315e-134	0.29081211880137114	0.189	0.31	7.199450870216353e-130	nonMalignant	HRSP12	-0.121
RHOA	4.3900752518058575e-134	0.4451495657609674	0.725	0.652	1.0208680990549342e-129	nonMalignant	RHOA	0.07299999999999995
DUT	1.3417800276769441e-132	0.6607534739452053	0.392	0.261	3.1201752763599657e-128	nonMalignant	DUT	0.131
ARF6	1.4274787167668456e-132	0.5092566956663978	0.435	0.219	3.3194590079696226e-128	nonMalignant	ARF6	0.216
PPP2R5C	1.615587018311027e-132	0.48073720670757486	0.362	0.135	3.7568860523804626e-128	nonMalignant	PPP2R5C	0.22699999999999998
AES	1.689515669811323e-132	0.41458739491709506	0.286	0.08	3.928799738579251e-128	nonMalignant	AES	0.20599999999999996
STK4	3.328736561225633e-132	0.43716330367705836	0.315	0.092	7.740643999474087e-128	nonMalignant	STK4	0.223
CCL4L2	1.582332836029186e-130	1.255797853996261	0.357	0.139	3.679556776902269e-126	nonMalignant	CCL4L2	0.21799999999999997
JAK1	2.116858510932273e-130	0.4915905838498361	0.374	0.144	4.922542781321908e-126	nonMalignant	JAK1	0.23
HLA-DPB1	7.224401260755901e-130	0.8916073147625881	0.564	0.297	1.6799622691761772e-125	nonMalignant	HLA-DPB1	0.26699999999999996
KMT2E	1.0715252089650314e-129	0.4893753711581089	0.388	0.153	2.491724720927284e-125	nonMalignant	KMT2E	0.23500000000000001
SRSF2	1.3113598400825462e-129	0.5790090817375577	0.481	0.298	3.049436172127953e-125	nonMalignant	SRSF2	0.183
SMCHD1	7.172039440988107e-128	0.39018960216001675	0.264	0.062	1.667786051607374e-123	nonMalignant	SMCHD1	0.202
TUBA4A	1.3468628013893184e-127	0.6103650425802138	0.36	0.171	3.131994758350721e-123	nonMalignant	TUBA4A	0.18899999999999997
TLN1	1.7964270885606437e-126	0.4094014742105444	0.304	0.088	4.177411551738921e-122	nonMalignant	TLN1	0.216
MT2A	2.9465554340783547e-126	1.218103566747176	0.89	0.768	6.851920006405806e-122	nonMalignant	MT2A	0.122
CD99	1.2289971075225504e-125	0.4147253564706186	0.554	0.529	2.8579098738329385e-121	nonMalignant	CD99	0.025000000000000022
GNAI2	1.4217269504537856e-125	0.5133971428916559	0.358	0.131	3.306083850585233e-121	nonMalignant	GNAI2	0.22699999999999998
ANP32E	2.9087583424952056e-124	0.5815680119445179	0.398	0.187	6.764026649638351e-120	nonMalignant	ANP32E	0.21100000000000002
CFLAR	6.993295720191246e-124	0.4616177534950225	0.383	0.151	1.6262209867732722e-119	nonMalignant	CFLAR	0.232
SMC2	1.7651647037719145e-123	0.41746624170921914	0.274	0.077	4.10471400215121e-119	nonMalignant	SMC2	0.197
FKBP5	3.4459437231925806e-122	0.5109539619499357	0.39	0.177	8.013197533912027e-118	nonMalignant	FKBP5	0.21300000000000002
PNRC1	1.1618491098300016e-121	0.6075319037810829	0.523	0.303	2.701763919998686e-117	nonMalignant	PNRC1	0.22000000000000003
HMGN2	5.438747895105283e-121	0.744067326263687	0.759	0.75	1.2647264355277826e-116	nonMalignant	HMGN2	0.009000000000000008
DDX5	1.0381381980771386e-120	0.5571103293742896	0.83	0.718	2.4140865658085783e-116	nonMalignant	DDX5	0.11199999999999999
PCNA	3.877668113840264e-120	0.6557159880853367	0.342	0.173	9.017129431924149e-116	nonMalignant	PCNA	0.16900000000000004
PRPF38B	1.0571280218152961e-119	0.4204879195405703	0.365	0.138	2.4582455019292896e-115	nonMalignant	PRPF38B	0.22699999999999998
IER2	9.407472349816641e-119	0.7811337462640985	0.432	0.204	2.1876136202263618e-114	nonMalignant	IER2	0.228
RSRP1	1.4538795968121927e-118	0.440982304418033	0.38	0.145	3.380851614427073e-114	nonMalignant	RSRP1	0.23500000000000001
YPEL5	4.85795623164664e-117	0.5516576659369643	0.364	0.183	1.1296691421071097e-112	nonMalignant	YPEL5	0.181
CDC42SE2	4.004342313204566e-116	0.42637903387935844	0.34	0.123	9.311697615125898e-112	nonMalignant	CDC42SE2	0.21700000000000003
TUBB	5.594014206624617e-116	0.8354263771871608	0.759	0.732	1.3008320636084884e-111	nonMalignant	TUBB	0.027000000000000024
TAP1	1.1419640086051116e-114	0.4173712822051636	0.316	0.106	2.6555231056103265e-110	nonMalignant	TAP1	0.21000000000000002
ATP1B3	1.790273516257491e-114	0.49381359136468017	0.324	0.151	4.1631020347051693e-110	nonMalignant	ATP1B3	0.17300000000000001
PLP2	2.7399357839083587e-114	0.5554611079818896	0.355	0.135	6.371446671900497e-110	nonMalignant	PLP2	0.21999999999999997
HNRNPDL	2.5311794461046053e-113	0.49157547475788643	0.585	0.43	5.886004683971649e-109	nonMalignant	HNRNPDL	0.15499999999999997
CARD16	1.874282470218731e-112	0.408118045874641	0.268	0.083	4.358456456246637e-108	nonMalignant	CARD16	0.185
YWHAB	6.23811627023878e-112	0.4210800473238594	0.603	0.517	1.4506115574813258e-107	nonMalignant	YWHAB	0.08599999999999997
SMC3	1.2957578541501644e-111	0.42994475566918383	0.328	0.13	3.013155314040792e-107	nonMalignant	SMC3	0.198
RPS15	1.1980011829602184e-110	0.4697437210016506	0.994	0.977	2.785831950855692e-106	nonMalignant	RPS15	0.017000000000000015
RBM39	1.6181101146216795e-110	0.5010290651527692	0.615	0.44	3.7627532605412536e-106	nonMalignant	RBM39	0.175
CAP1	2.0028796288860685e-110	0.5155881153525697	0.503	0.29	4.657496289011664e-106	nonMalignant	CAP1	0.21300000000000002
DNAJC9	3.3271144109983835e-109	0.3969065984389224	0.259	0.082	7.73687185133564e-105	nonMalignant	DNAJC9	0.177
ID2	3.3475912468694265e-109	0.6224464043851476	0.726	0.606	7.784488685470165e-105	nonMalignant	ID2	0.12
CLK1	5.176782696265463e-109	0.46825308137217175	0.392	0.165	1.2038090481895707e-104	nonMalignant	CLK1	0.227
CDK1	9.09559574355021e-109	0.48353687196463774	0.289	0.091	2.1150898342051657e-104	nonMalignant	CDK1	0.19799999999999998
OAZ1	2.6399989829671517e-108	0.48192741495180735	0.92	0.858	6.139053634991814e-104	nonMalignant	OAZ1	0.062000000000000055
ANXA6	1.679329316397141e-107	0.41233041799631864	0.327	0.145	3.9051123923499116e-103	nonMalignant	ANXA6	0.18200000000000002
CAPZB	2.153060667405819e-107	0.444738785036628	0.535	0.405	5.006727275985492e-103	nonMalignant	CAPZB	0.13
TPM3	2.4951518413423042e-107	0.4707708164473716	0.621	0.536	5.802226091857394e-103	nonMalignant	TPM3	0.08499999999999996
RPL26	3.516358741633043e-107	0.5636268360238375	0.956	0.94	8.176940617793479e-103	nonMalignant	RPL26	0.016000000000000014
PTTG1	1.3951396687083534e-106	0.728733787646074	0.381	0.173	3.244257785614405e-102	nonMalignant	PTTG1	0.20800000000000002
