UMAP_1	UMAP_2	CellType	cell_id
11.02240085	-6.522362652	Monocytes	cell107
5.158668031	-11.52090496	Macrophages	cell108
5.395960321	-9.552697602	Macrophages	cell109
6.612257948	-5.038467827	DCs	cell110
7.085082998	-6.883256856	DCs	cell111
6.945145597	-4.954115334	DCs	cell112
6.174029817	-9.872831765	Macrophages	cell113
6.702303877	-4.81617445	DCs	cell114
6.371000757	-10.44318527	Macrophages	cell115
5.429809084	-11.42964024	Macrophages	cell116
6.515639772	-9.941920701	Macrophages	cell117
6.324217786	-10.60797733	Macrophages	cell118
6.670426836	-10.15003437	Macrophages	cell119
6.248467436	-10.15438789	Macrophages	cell120
5.776867857	-11.25952286	Macrophages	cell121
6.26247262	-9.069962922	Macrophages	cell122
4.945349683	-10.6405291	Macrophages	cell123
6.909239759	-5.167322579	DCs	cell124
11.39787768	-6.457557145	Monocytes	cell125
5.915979852	-10.8640818	Macrophages	cell126
11.20953654	-6.457270089	Monocytes	cell127
4.56071805	-11.38481754	Macrophages	cell128
6.614246359	-10.35939354	Macrophages	cell129
10.39009189	-6.859360161	Monocytes	cell130
6.654150476	-9.803125802	Macrophages	cell131
5.106099119	-10.48704475	Macrophages	cell132
6.799857607	-4.381944123	DCs	cell133
5.475999345	-11.11002773	Macrophages	cell134
6.817457666	-4.778059903	DCs	cell135
5.849974146	-11.1354298	Macrophages	cell136
11.268754	-6.491752568	Monocytes	cell137
11.17457103	-6.496876183	Monocytes	cell138
6.991547575	-4.68305439	DCs	cell139
8.109142294	-7.725324574	Monocytes	cell140
10.719635	-6.589406434	Monocytes	cell141
5.035751333	-11.72573895	Macrophages	cell142
6.666689863	-4.694740716	DCs	cell143
5.794918527	-11.08993477	Macrophages	cell144
6.911545744	-5.862859669	DCs	cell145
6.353198995	-10.67053455	Macrophages	cell146
5.634864797	-8.165849629	Macrophages	cell147
9.507482519	-7.550959054	Monocytes	cell148
5.295286169	-9.185079995	Macrophages	cell149
5.882547846	-8.252162877	Macrophages	cell150
10.5768051	-6.335672322	Monocytes	cell151
6.964451303	-7.932069722	Macrophages	cell152
6.598252287	-7.096551838	Macrophages	cell153
9.848199835	-6.518320504	Monocytes	cell154
6.738239278	-5.770913067	DCs	cell155
3.597840061	-7.235266152	Macrophages	cell156
3.987612238	-7.901051465	Macrophages	cell157
6.580869188	-8.353808823	Macrophages	cell158
6.157310953	-6.690469208	DCs	cell159
4.125560274	-8.018453541	Macrophages	cell160
6.279661646	-8.540118638	Macrophages	cell161
8.708782186	-6.625917855	Monocytes	cell162
4.279201021	-7.476505223	Macrophages	cell163
6.894052972	-5.938344422	DCs	cell164
4.572027197	-7.35806984	Macrophages	cell165
11.16299628	-6.476474705	Monocytes	cell166
3.674542894	-6.957867089	Macrophages	cell167
5.964448442	-5.357569161	DCs	cell168
10.66849326	-6.785777989	Monocytes	cell169
5.447368612	-6.877575341	Macrophages	cell170
5.572165956	-6.19153637	DCs	cell171
8.962197294	-7.400557461	Monocytes	cell172
5.599423875	-7.454665127	Macrophages	cell173
3.673646917	-7.359284821	Macrophages	cell174
6.07975625	-7.842467251	Macrophages	cell175
6.747960081	-5.617669049	DCs	cell176
-6.235477934	0.615198848	Epithelials	cell177
3.799253454	-6.96160883	Macrophages	cell178
4.698064794	-7.020052853	Macrophages	cell179
7.459512224	-7.809631291	Macrophages	cell180
11.00475596	-7.218268815	Monocytes	cell181
8.046642294	-7.887707177	Macrophages	cell182
4.8544526	-7.640448514	Macrophages	cell183
5.618388166	-6.814918938	Macrophages	cell184
3.846101274	-7.361876431	Macrophages	cell185
-5.976645956	0.248707292	Epithelials	cell186
4.495187273	-7.282876435	Macrophages	cell187
6.519531717	-9.305834237	Macrophages	cell188
5.202588072	-7.159815732	Macrophages	cell189
10.36563682	-6.400754872	Monocytes	cell190
4.008429041	-8.510923806	Macrophages	cell191
6.991817941	-7.589254323	Macrophages	cell192
4.704481115	-8.956963006	Macrophages	cell193
4.767946233	-8.776927414	Macrophages	cell194
4.699748029	-7.022707406	Macrophages	cell195
3.704837789	-6.671379033	Macrophages	cell196
4.877696027	-6.741797391	Macrophages	cell197
9.398289671	-7.512406292	Monocytes	cell198
3.772118082	-6.997947636	Macrophages	cell199
4.315060606	-7.74915165	Macrophages	cell200
-6.145833979	0.393399653	Epithelials	cell201
3.666277876	-7.202678624	Macrophages	cell202
7.92123126	-7.993157807	Macrophages	cell203
5.629832735	-7.593988839	Macrophages	cell204
5.639363756	-6.913063946	Macrophages	cell205
10.26602458	-6.569377366	Monocytes	cell206
5.137491216	-7.293756428	Macrophages	cell207
4.531956663	-8.399208489	Macrophages	cell208
11.22530936	-6.232459488	Monocytes	cell209
-6.167593489	0.452172753	Epithelials	cell210
11.15425109	-6.454057637	Monocytes	cell211
9.418095579	-7.497476998	Monocytes	cell212
5.827926149	-7.840391579	Macrophages	cell213
6.028783312	-8.494653168	Macrophages	cell214
3.549034824	-7.39816803	Macrophages	cell215
3.815221777	-7.221992436	Macrophages	cell216
6.956496229	-7.330708447	Macrophages	cell217
4.647057523	-9.222093049	Macrophages	cell218
10.47359847	-6.709064904	Monocytes	cell219
4.286700239	-7.383954945	Macrophages	cell220
5.455925455	-7.892120781	Macrophages	cell221
11.5315113	-6.725745621	Monocytes	cell222
4.104603281	-6.957920018	Macrophages	cell223
4.013520708	-7.415722313	Macrophages	cell224
4.163981905	-6.937642518	Macrophages	cell225
4.314723005	-7.659329835	Macrophages	cell226
3.667290678	-7.105419102	Macrophages	cell227
5.444284429	-9.291132393	Macrophages	cell228
-5.811148177	0.185227183	Epithelials	cell229
3.713196745	-7.084843102	Macrophages	cell230
5.112163057	-10.59117645	Macrophages	cell231
-5.72559453	-0.859494331	Epithelials	cell232
9.706454267	-6.528765622	Monocytes	cell233
6.391756048	-6.236541691	DCs	cell234
7.888448705	-8.045302334	Macrophages	cell235
6.01134633	-8.36556572	Macrophages	cell236
10.55752753	-6.561902943	Monocytes	cell237
4.984154215	-10.02604527	Macrophages	cell238
8.937409391	-6.636587563	Monocytes	cell239
3.937801351	-7.077592793	Macrophages	cell240
6.538651457	-7.489040318	Macrophages	cell241
3.10260724	-7.260902825	Macrophages	cell242
6.129898061	-8.184337082	Macrophages	cell243
10.46771716	-6.382283154	Monocytes	cell244
4.496797552	-6.95362896	Macrophages	cell245
4.6090207	-8.067776146	Macrophages	cell246
3.963568201	-7.615378323	Macrophages	cell247
5.082145681	-6.882587376	Macrophages	cell248
4.150549879	-7.029348794	Macrophages	cell249
5.172183981	-7.09992117	Macrophages	cell250
6.918679704	-5.607396069	DCs	cell251
5.455971708	-7.296754304	Macrophages	cell252
4.328229417	-8.698568764	Macrophages	cell253
5.217810621	-9.352198067	Macrophages	cell254
4.173571577	-7.031050625	Macrophages	cell255
8.640012731	-6.587558213	Monocytes	cell256
8.296236982	-7.534066144	Macrophages	cell257
7.329425802	-7.859008256	Macrophages	cell258
5.709222784	-7.415156308	Macrophages	cell259
10.85777568	-6.412073079	Monocytes	cell260
11.03001594	-6.670220318	Monocytes	cell261
8.125388136	-7.078785363	Monocytes	cell262
9.7096033	-6.52136797	Monocytes	cell263
8.24838542	-7.706355038	Monocytes	cell264
6.662304868	-8.846448365	Macrophages	cell265
7.073483457	-7.308763447	Macrophages	cell266
8.767272939	-7.536904278	Monocytes	cell267
10.56429957	-6.347726288	Monocytes	cell268
3.886685838	-8.144851628	Macrophages	cell269
4.00756072	-7.407632294	Macrophages	cell270
8.351370802	-7.211410943	Monocytes	cell271
3.69150876	-7.642538968	Macrophages	cell272
-5.628524313	0.659389672	Epithelials	cell273
8.829886427	-6.758655968	Monocytes	cell274
8.885144224	-6.546643677	Monocytes	cell275
3.976389398	-8.060646477	Macrophages	cell276
4.246452799	-8.083136025	Macrophages	cell277
6.359342565	-5.948505822	DCs	cell278
4.916235914	-7.50795311	Macrophages	cell279
3.744850626	-7.706388417	Macrophages	cell280
7.462017526	-7.602367344	Macrophages	cell281
11.22961616	-6.110158387	Monocytes	cell282
3.892763128	-7.088713112	Macrophages	cell283
3.820506086	-7.478217545	Macrophages	cell284
4.112268438	-6.781587067	Macrophages	cell285
9.740389814	-6.526232186	Monocytes	cell286
4.501139631	-6.983128491	Macrophages	cell287
11.47496795	-6.678630295	Monocytes	cell288
-5.615528593	0.685884652	Epithelials	cell289
3.552124252	-7.438825551	Macrophages	cell290
4.574959268	-7.134128037	Macrophages	cell291
11.12769507	-6.249742451	Monocytes	cell292
5.699128141	-7.542844716	Macrophages	cell293
7.074540605	-7.93489975	Macrophages	cell294
4.913530817	-7.00119299	Macrophages	cell295
6.750029077	-7.253164235	Macrophages	cell296
6.230271806	-7.313314381	Macrophages	cell297
6.295170297	-7.319508973	Macrophages	cell298
4.709209909	-6.904608193	Macrophages	cell299
9.254325857	-7.04995245	Monocytes	cell300
4.379001131	-6.969729844	Macrophages	cell301
4.628329744	-8.075981083	Macrophages	cell302
5.85492753	-8.844868126	Macrophages	cell303
6.593165388	-5.173070851	DCs	cell304
4.301791181	-7.919715825	Macrophages	cell305
6.424442281	-6.459805432	DCs	cell306
3.504417171	-7.205268803	Macrophages	cell307
4.097262373	-8.260748807	Macrophages	cell308
4.817289819	-7.972087327	Macrophages	cell309
7.233980646	-7.921163502	Macrophages	cell310
9.683503141	-7.022911969	Monocytes	cell311
8.854347219	-7.365560952	Monocytes	cell312
7.139645567	-7.299617711	Macrophages	cell313
5.352957239	-7.809067669	Macrophages	cell314
7.975657453	-7.820829812	Macrophages	cell315
5.937131395	-8.11753315	Macrophages	cell316
4.523697366	-11.24761051	Macrophages	cell317
11.31002139	-6.187059346	Monocytes	cell318
5.499771585	-9.305356446	Macrophages	cell319
7.294480791	-6.103547993	DCs	cell320
-5.841253767	0.683084247	Epithelials	cell321
6.02392291	-8.602305832	Macrophages	cell322
8.853734007	-7.367527428	Monocytes	cell323
3.68995284	-7.636010113	Macrophages	cell324
10.96345138	-7.100917759	Monocytes	cell325
6.076005926	-7.322620812	Macrophages	cell326
6.372003545	-4.363739911	DCs	cell327
4.583672037	-7.419642869	Macrophages	cell328
8.287734022	-7.719540539	Macrophages	cell329
6.061478605	-7.770027581	Macrophages	cell330
10.7106018	-7.050288144	Monocytes	cell331
4.011475553	-8.109073582	Macrophages	cell332
9.26584815	-7.417466584	Monocytes	cell333
5.505755891	-9.250754777	Macrophages	cell334
7.511542787	-7.959619465	Macrophages	cell335
9.474784841	-7.195764485	Monocytes	cell336
7.037259569	-7.971013489	Macrophages	cell337
7.791218748	-8.139221135	Macrophages	cell338
9.496916761	-7.245974484	Monocytes	cell339
11.06800174	-6.392419758	Monocytes	cell340
8.145328512	-7.938688698	Macrophages	cell341
7.3223071	-8.052353802	Macrophages	cell342
6.894678583	-8.522489968	Macrophages	cell343
9.338066091	-7.360469285	Monocytes	cell344
7.771334638	-8.006532136	Macrophages	cell345
6.65918683	-7.44992632	Macrophages	cell346
6.922730436	-5.928956452	DCs	cell347
5.970698824	-7.287985268	Macrophages	cell348
7.018504133	-7.485909405	Macrophages	cell349
6.648465624	-7.539328042	Macrophages	cell350
9.732570638	-7.279380742	Monocytes	cell351
6.149683942	-7.619402829	Macrophages	cell352
5.541004171	-7.011385384	Macrophages	cell353
7.215473165	-7.579777661	Macrophages	cell354
5.626601686	-7.863842431	Macrophages	cell355
4.763355722	-6.932495537	Macrophages	cell356
4.049143305	-7.680534306	Macrophages	cell357
4.791226854	-8.915682259	Macrophages	cell358
8.0387535	-7.603001538	Macrophages	cell359
6.145524015	-7.24666113	Macrophages	cell360
5.695380678	-7.250444356	Macrophages	cell361
7.712756147	-8.01886982	Macrophages	cell362
5.791011324	-7.812125626	Macrophages	cell363
10.75039481	-6.169111672	Monocytes	cell364
4.012766351	-7.50474638	Macrophages	cell365
4.882035722	-7.547350827	Macrophages	cell366
5.903997888	-7.399624291	Macrophages	cell367
6.490620126	-7.448756638	Macrophages	cell368
4.238212099	-7.229289952	Macrophages	cell369
4.188249578	-7.347141686	Macrophages	cell370
8.925346365	-6.752424183	Monocytes	cell371
4.147434225	-7.128807011	Macrophages	cell372
8.758176794	-6.88175005	Monocytes	cell373
3.602375497	-7.358782712	Macrophages	cell374
5.74036931	-7.459392491	Macrophages	cell375
3.947615614	-8.109435978	Macrophages	cell376
4.597452631	-10.17802757	Macrophages	cell377
9.823087682	-6.534810963	Monocytes	cell378
4.461217394	-7.538879815	Macrophages	cell379
6.153634061	-5.437064591	DCs	cell380
4.64785861	-8.245042267	Macrophages	cell381
4.389237394	-6.866447392	Macrophages	cell382
8.895652761	-7.325734082	Monocytes	cell383
6.908222665	-4.386784974	DCs	cell384
7.713155737	-7.9417519	Macrophages	cell385
10.38343333	-6.43856186	Monocytes	cell386
9.715939512	-7.114915314	Monocytes	cell387
11.16511058	-6.204034749	Monocytes	cell388
5.966202249	-5.451810303	DCs	cell389
4.934157362	-6.854316178	Macrophages	cell390
11.33824824	-6.691627446	Monocytes	cell391
3.871817579	-7.998493138	Macrophages	cell392
7.681839933	-7.312654439	Macrophages	cell393
4.020604124	-7.165533486	Macrophages	cell394
9.081397047	-6.862579289	Monocytes	cell395
9.336027136	-7.325571003	Monocytes	cell396
4.007853021	-7.80908722	Macrophages	cell397
5.117672434	-6.656969491	Macrophages	cell398
6.266562452	-8.461406174	Macrophages	cell399
10.29454135	-6.833694878	Monocytes	cell400
5.61340331	-6.910940114	Macrophages	cell401
-5.706284533	0.067954835	Epithelials	cell402
5.184771051	-6.718272152	Macrophages	cell403
5.440418234	-7.196483555	Macrophages	cell404
4.933199873	-7.212338391	Macrophages	cell405
6.854766836	-7.582771721	Macrophages	cell406
6.471115102	-4.134021941	DCs	cell407
4.085184564	-8.405769768	Macrophages	cell408
3.600407352	-7.269649449	Macrophages	cell409
7.990603437	-7.347835961	Macrophages	cell410
9.424077024	-7.39494032	Monocytes	cell411
6.073409071	-7.290361348	Macrophages	cell412
10.16552638	-7.112327996	Monocytes	cell413
11.37911986	-6.420132103	Monocytes	cell414
5.689686765	-7.392574254	Macrophages	cell415
7.36984395	-8.335767212	Macrophages	cell416
6.273877611	-8.092124405	Macrophages	cell417
6.75555562	-7.610327187	Macrophages	cell418
3.776931276	-8.152187768	Macrophages	cell419
5.476977815	-8.975249711	Macrophages	cell420
5.233103265	-7.541072789	Macrophages	cell421
5.287102213	-9.235981408	Macrophages	cell422
4.020566454	-6.980828705	Macrophages	cell423
4.645214548	-7.034983101	Macrophages	cell424
9.311338415	-6.499929371	Monocytes	cell425
3.999695768	-8.227333966	Macrophages	cell426
8.254224767	-7.71785635	Macrophages	cell427
6.974068632	-7.765642109	Macrophages	cell428
4.458533277	-9.121910515	Macrophages	cell429
3.634991159	-7.518525544	Macrophages	cell430
9.778009405	-6.597789231	Monocytes	cell431
3.767866602	-7.201563778	Macrophages	cell432
4.024136057	-7.469185296	Macrophages	cell433
4.167709818	-8.254519406	Macrophages	cell434
9.881702413	-6.381076279	Monocytes	cell435
4.391252031	-7.215657177	Macrophages	cell436
5.471356382	-7.070482197	Macrophages	cell437
11.11176967	-6.625081006	Monocytes	cell438
9.081170072	-6.69783062	Monocytes	cell439
4.699437608	-9.61437172	Macrophages	cell440
3.55188178	-7.278114739	Macrophages	cell441
4.489033212	-7.241539898	Macrophages	cell442
6.987950792	-7.556929055	Macrophages	cell443
5.156823148	-6.71791071	Macrophages	cell444
8.974053373	-7.210329953	Monocytes	cell445
6.909041395	-7.867541733	Macrophages	cell446
5.877558698	-7.208072129	Macrophages	cell447
7.012082567	-8.053838196	Macrophages	cell448
10.92492389	-7.392400208	Monocytes	cell449
5.588366022	-7.308918419	Macrophages	cell450
4.351251592	-7.157307568	Macrophages	cell451
7.539246549	-8.017963353	Macrophages	cell452
3.922054758	-7.289143029	Macrophages	cell453
3.730932226	-7.863063756	Macrophages	cell454
9.509570112	-6.849767628	Monocytes	cell455
9.178758611	-7.211459103	Monocytes	cell456
4.126950254	-8.222007218	Macrophages	cell457
5.296304216	-7.278228226	Macrophages	cell458
8.114896764	-7.559766236	Macrophages	cell459
9.026724806	-7.420614186	Monocytes	cell460
9.636026373	-6.452000561	Monocytes	cell461
6.343530168	-4.925877514	DCs	cell462
4.687874784	-6.868789616	Macrophages	cell463
3.703421583	-6.904431286	Macrophages	cell464
11.23372649	-6.634042683	Monocytes	cell465
5.232082834	-6.83688921	Macrophages	cell466
-6.105595599	0.698760268	Epithelials	cell467
6.686950674	-8.261867466	Macrophages	cell468
6.635718336	-7.942959252	Macrophages	cell469
9.491520872	-7.35945982	Monocytes	cell470
5.103712549	-7.125987473	Macrophages	cell471
8.629656782	-6.879165116	Monocytes	cell472
3.849879255	-7.923503342	Macrophages	cell473
4.955271234	-10.06593651	Macrophages	cell474
5.702622881	-7.608670655	Macrophages	cell475
4.847305288	-6.954201642	Macrophages	cell476
3.901801576	-7.980677071	Macrophages	cell477
-5.744447241	0.782157239	Epithelials	cell478
8.077498426	-7.931771699	Macrophages	cell479
6.820194235	-5.708701077	DCs	cell480
3.635366907	-6.985596123	Macrophages	cell481
4.612997999	-6.936225834	Macrophages	cell482
8.745564451	-6.685800019	Monocytes	cell483
-5.865058909	0.310232934	Epithelials	cell484
10.10583781	-6.573204938	Monocytes	cell485
9.571973791	-6.567331257	Monocytes	cell486
6.352218141	-6.713878098	DCs	cell487
10.84878158	-6.380958977	Monocytes	cell488
5.705338945	-7.242476407	Macrophages	cell489
3.75336503	-7.094319764	Macrophages	cell490
-5.92253686	0.015790877	Epithelials	cell491
5.054542055	-7.51304144	Macrophages	cell492
4.124839773	-7.114818993	Macrophages	cell493
5.032343378	-9.211976471	Macrophages	cell494
7.193682661	-7.301141205	Macrophages	cell495
5.586031427	-6.799538556	Monocytes	cell496
3.583199014	-7.417698327	Macrophages	cell497
11.24998282	-6.372930947	Monocytes	cell498
4.688296785	-7.68777174	Macrophages	cell499
11.31148242	-6.355259839	Monocytes	cell500
6.582478037	-5.770806733	DCs	cell501
4.169424047	-6.966082993	Macrophages	cell502
6.738589754	-7.51551384	Macrophages	cell503
11.00159644	-6.293574276	Monocytes	cell504
4.754577627	-6.762470189	Macrophages	cell505
7.34700202	-7.569550458	Macrophages	cell506
4.269521703	-7.953911725	Macrophages	cell507
7.586210718	-7.904287758	Macrophages	cell508
6.16944932	-5.078300419	DCs	cell509
8.797183981	-7.309926453	Monocytes	cell510
9.358978262	-6.969869557	Monocytes	cell511
6.086328973	-7.510709229	Macrophages	cell512
8.30709361	-7.581631127	Macrophages	cell513
4.368242731	-7.13247675	Macrophages	cell514
3.72169589	-6.71274704	Macrophages	cell515
3.799537172	-7.396361294	Macrophages	cell516
9.622487058	-7.306303444	Monocytes	cell517
-6.265025626	0.61169773	Epithelials	cell518
4.454571237	-7.390974942	Macrophages	cell519
4.467788686	-7.962944928	Macrophages	cell520
10.70994567	-6.22766203	Monocytes	cell521
5.105607023	-6.685219708	Macrophages	cell522
3.570854654	-7.441012326	Macrophages	cell523
-6.213608752	0.435091373	Epithelials	cell524
3.849871149	-7.029523793	Macrophages	cell525
6.513276567	-8.252814236	Macrophages	cell526
-6.040311823	0.123424527	Epithelials	cell527
8.426569929	-7.674938622	Macrophages	cell528
5.977743616	-7.273201886	Macrophages	cell529
4.315244665	-7.512315693	Macrophages	cell530
5.900330057	-7.515215817	Macrophages	cell531
7.721876135	-7.150650445	Macrophages	cell532
4.157274713	-7.47917408	Macrophages	cell533
4.262936105	-7.447547856	Macrophages	cell534
5.237055292	-6.750966969	Macrophages	cell535
4.981188764	-6.739589634	Macrophages	cell536
11.25610827	-6.336467686	Monocytes	cell537
6.20527934	-7.604963246	Macrophages	cell538
3.609949817	-7.20384163	Macrophages	cell539
4.626625051	-7.936691227	Macrophages	cell540
8.256356229	-7.758450451	Macrophages	cell541
4.703284731	-7.114048424	Macrophages	cell542
3.962703695	-6.760282937	Macrophages	cell543
10.84237575	-6.402094784	Monocytes	cell544
3.82483243	-6.829898301	Macrophages	cell545
8.186597814	-7.854124489	Macrophages	cell546
3.573995342	-7.307232323	Macrophages	cell547
7.357339372	-8.256100121	DCs	cell548
7.872302046	-7.77299017	Monocytes	cell549
6.248335352	-7.626989785	Macrophages	cell550
6.451111307	-4.197021428	DCs	cell551
7.105743398	-7.443300667	Macrophages	cell552
4.589232435	-8.316774788	Macrophages	cell553
6.906814565	-7.405348721	Macrophages	cell554
7.789931287	-7.996992055	Macrophages	cell555
6.126030912	-8.649098816	Macrophages	cell556
4.090446939	-6.772185269	Macrophages	cell557
4.075089922	-7.752024117	Macrophages	cell558
-5.772237788	0.78567892	Epithelials	cell559
7.757879247	-8.070440236	Macrophages	cell560
10.12546824	-6.426696721	Monocytes	cell561
11.19995784	-6.456411305	Monocytes	cell562
5.351032724	-8.137588444	Macrophages	cell563
7.098007669	-7.873152676	Macrophages	cell564
3.189579239	-7.413469735	Macrophages	cell565
5.71613883	-6.966897431	Macrophages	cell566
7.829955091	-7.769840661	Macrophages	cell567
8.731235494	-7.484000149	Monocytes	cell568
9.394456854	-6.805905762	Monocytes	cell569
3.919167509	-7.182489815	Macrophages	cell570
6.166115274	-7.296987	Macrophages	cell571
4.073677053	-7.997914734	Macrophages	cell572
3.666872492	-7.107293072	Macrophages	cell573
3.909821977	-7.31516594	Macrophages	cell574
3.920021524	-7.584408703	Macrophages	cell575
4.774721613	-6.998347703	Macrophages	cell576
4.473222246	-7.121034089	Macrophages	cell577
10.09425067	-6.786762658	Monocytes	cell578
9.034370413	-6.648232403	Monocytes	cell579
4.32047986	-9.080722275	Macrophages	cell580
6.311058511	-4.978514615	DCs	cell581
6.278042783	-7.496159974	Macrophages	cell582
5.474249353	-6.864704075	Macrophages	cell583
6.213037958	-7.985083523	Macrophages	cell584
10.90117358	-6.323392335	Monocytes	cell585
5.687250604	-7.273514691	Macrophages	cell586
10.06943606	-6.823862019	Monocytes	cell587
8.898602476	-7.32548708	Monocytes	cell588
9.744825353	-7.141589108	Monocytes	cell589
10.66590308	-6.532648984	Monocytes	cell590
9.490118971	-6.825799408	Monocytes	cell591
4.272077074	-6.880342427	Macrophages	cell592
4.950573435	-7.844667855	Macrophages	cell593
6.067336073	-8.251307908	Macrophages	cell594
9.04316329	-7.03749508	Monocytes	cell595
6.684822073	-6.151427212	DCs	cell596
6.051343431	-8.531451645	Macrophages	cell597
7.581954946	-8.006776753	Macrophages	cell598
5.01021718	-9.233128014	Macrophages	cell599
8.074140539	-7.951982441	Macrophages	cell600
3.896100034	-6.75304884	Macrophages	cell601
5.296625127	-7.376292172	Macrophages	cell602
5.568878641	-6.022156182	DCs	cell603
9.389255514	-7.029494229	Monocytes	cell604
5.378177633	-7.23943657	Macrophages	cell605
8.130066862	-7.735968056	Macrophages	cell606
7.604150762	-8.173595849	Macrophages	cell607
4.81703042	-6.860253754	Macrophages	cell608
7.484504213	-7.809616032	Macrophages	cell609
5.806515207	-5.961668435	Macrophages	cell610
11.09632968	-6.268149319	Monocytes	cell611
11.2024927	-6.291295949	Monocytes	cell612
