id	logFC	AveExpr	t	P.Value	adj.P.Val	B
CARS2	-2.02951954	4.61055631996602	-50.71340604	8.14292900359741e-09	4.05809055358973e-06	11.4245102077726
NPTX1	-2.546601982	1.6390346078743	-49.24718696	9.62854708786523e-09	4.05809055358973e-06	11.2699491817932
DOK7	-2.978087409	2.66720835365059	-49.18691918	9.69612746906788e-09	4.05809055358973e-06	11.2634565036931
EBNA1BP2	-2.441681992	6.77815789318387	-49.14712566	9.74105470634482e-09	4.05809055358973e-06	11.2591633635092
BCL6	2.50959613453676	2.43834667782511	49.1427578624388	9.74600085687665e-09	4.05809055358973e-06	11.2586918433384
SRSF7	-1.966689106	7.06285852164989	-48.6068421	1.03758998528581e-08	4.05809055358973e-06	11.2003852992852
EIF4G1	-1.871529746	6.68575819602056	-48.52675042	1.04740898342295e-08	4.05809055358973e-06	11.1915937733316
FTH1	1.47248234908993	14.0581507861941	47.9735318982624	1.11829342263161e-08	4.05809055358973e-06	11.1303074195142
ANP32A	-1.667183713	6.0792461293062	-47.74859215	1.14871637112856e-08	4.05809055358973e-06	11.1051050087375
ACSF2	3.47068629328667	2.25274018899492	47.6805460153465	1.15811032951057e-08	4.05809055358973e-06	11.0974484406892
BICDL1	2.41909524433333	2.09703058589198	47.4086665461812	1.19655567622449e-08	4.05809055358973e-06	11.0667040788426
GTF3C6	-2.889831394	5.68057939477217	-47.31850442	1.20963468559468e-08	4.05809055358973e-06	11.0564543208015
SLC25A27	1.86300154388599	2.93936901782639	47.2504209005841	1.21962227778748e-08	4.05809055358973e-06	11.0486965145516
PLD3	2.00409207629722	6.12806800304505	46.3286588557224	1.36484795964879e-08	4.05809055358973e-06	10.9421209684815
SYVN1	1.58043636369129	4.79075111042747	46.3143753220202	1.36725329276498e-08	4.05809055358973e-06	10.9404465316814
HLA-E	2.08397077006571	6.09133659030585	46.3112593754232	1.3677786763365e-08	4.05809055358973e-06	10.9400811597501
HOXA11	-2.195034307	3.01119995678232	-46.24553453	1.37891605846818e-08	4.05809055358973e-06	10.9323664712731
CAMLG	1.7381990828296	4.50746174797518	46.2164914236372	1.38387145539874e-08	4.05809055358973e-06	10.9289526342386
VAMP4	1.71613476388523	2.35354054785235	46.1809035029996	1.38997208236104e-08	4.05809055358973e-06	10.9247654782368
ERLEC1	1.70978456872336	6.08033443713429	46.1455465	1.39606442360156e-08	4.05809055358973e-06	10.9206011040076
EPGN	3.09350495760194	2.73659410358364	45.9637960094796	1.4278810670505e-08	4.05809055358973e-06	10.8991251452212
TANK	1.64666821483554	4.23105028162911	45.9335521026553	1.43325772753161e-08	4.05809055358973e-06	10.895540180658
PKM	-1.524721004	9.15429401168312	-45.88288563	1.44231841583606e-08	4.05809055358973e-06	10.8895271792633
NME1	-1.787792306	8.95884840428241	-45.78786302	1.45949333510688e-08	4.05809055358973e-06	10.8782255467827
CPA4	-2.90813256	4.74766297280325	-45.64476321	1.48581334440374e-08	4.05809055358973e-06	10.8611451731039
HSPB8	-2.001672196	5.04018405058554	-45.62597683	1.48930990825658e-08	4.05809055358973e-06	10.8588974037844
SDC4	1.85102209649079	5.65802908932611	45.4159108845869	1.52907338910653e-08	4.05809055358973e-06	10.8336769697538
NUAK1	-1.513392362	1.43440751216407	-45.36042161	1.53978427271695e-08	4.05809055358973e-06	10.8269883986653
TOGARAM2	-3.849356454	2.4610039449468	-45.33429523	1.54485784401647e-08	4.05809055358973e-06	10.8238353157932
SERPINE2	3.25323092225059	3.95095358641869	45.215546122093	1.56816697000278e-08	4.05809055358973e-06	10.8094727764552
DHX9	-2.672331831	5.79221823783668	-45.16778463	1.57765831117826e-08	4.05809055358973e-06	10.803681622307
MAZ	-1.505705709	7.01216773128417	-44.90166066	1.63179541939653e-08	4.05809055358973e-06	10.7712607807814
MXD1	2.72859178192048	2.87255286749652	44.8813343441718	1.63601930728779e-08	4.05809055358973e-06	10.768773797003
RAN	-1.484736167	8.26234058838025	-44.86882546	1.63862508384226e-08	4.05809055358973e-06	10.767242540298
FAM114A1	1.558470558	3.85375652985802	44.8665218708126	1.6391054852361e-08	4.05809055358973e-06	10.7669604866879
HLA-F	3.32616952813945	4.30343460284713	44.7419530098263	1.66533169111348e-08	4.05809055358973e-06	10.7516789007917
IQANK1	-2.626376542	2.86278488469483	-44.72310874	1.66934185358245e-08	4.05809055358973e-06	10.7493621504712
LDHA	-2.097152455	9.18294999180126	-44.31915619	1.75809466241987e-08	4.15782896148992e-06	10.6993801101203
PTCD2	-1.371505896	2.85345236310665	-44.29019535	1.76466785828824e-08	4.15782896148992e-06	10.6957731185467
SCARA3	-1.432364597	3.65654228838747	-43.97496908	1.83811350589662e-08	4.183205151471e-06	10.656306186656
FJX1	-3.653284871	2.42183990148497	-43.94580087	1.84508921189925e-08	4.183205151471e-06	10.652635059036
HLA-B	2.00192541543916	7.93460775946566	43.8947164188307	1.85738132745693e-08	4.183205151471e-06	10.6461976551518
IL2RG	1.75122595584364	1.71266912381521	43.6301931170733	1.92259126185191e-08	4.23045423949403e-06	10.6127023852383
DNHD1	1.90546480447129	2.46307999728511	43.5865516828657	1.93360624723854e-08	4.23045423949403e-06	10.6071501543102
HBE1	1.77193275768802	7.80742838242057	43.0844366909877	2.06582294017082e-08	4.37508505512593e-06	10.5427303373667
HMGB1	-1.580846157	7.00356549926508	-43.02859319	2.08117380943287e-08	4.37508505512593e-06	10.5355039795552
HNRNPU	-2.006738501	6.76525332779472	-43.01325211	2.08541435863005e-08	4.37508505512593e-06	10.5335166021836
CABLES1	-2.066504359	2.43779200035887	-42.87672633	2.12360286277378e-08	4.39499700586221e-06	10.5157886151561
KRT80	-2.522729629	4.02871041471566	-42.61535179	2.19902926213409e-08	4.49041775327782e-06	10.4816389538162
DNASE1L1	1.856293662	4.31778696617061	42.5061244658651	2.23147878400791e-08	4.49672336540542e-06	10.4672856168669
PPIF	-1.893593288	5.85569313688132	-42.27452169	2.30216270496012e-08	4.57745350428994e-06	10.4366891739553
POLR3K	-1.468892039	5.20944915376227	-42.18141163	2.33131814126422e-08	4.57745350428994e-06	10.4243261935449
IER5	1.53085549656029	4.91537723539452	42.0843469567301	2.36217459432368e-08	4.57932960912242e-06	10.4113997550949
MAN1A1	1.66217575564062	1.61028580719323	41.6222423991061	2.51581728569083e-08	4.81621771629438e-06	10.3493172757315
BAIAP2L1	1.45723104205982	4.17576214485497	41.1822086850088	2.67313791995427e-08	4.93512501304267e-06	10.2893539369023
ALDH1L2	2.03078225324545	2.6200361501165	41.138225370343	2.68948892043927e-08	4.93512501304267e-06	10.2833143099195
TAP1	1.43189664036468	5.42430010824238	40.9812614147822	2.74880620992561e-08	4.93512501304267e-06	10.2616917329738
DNAL4	1.57375280807733	1.85712332630269	40.8612383868499	2.79520135360666e-08	4.93512501304267e-06	10.2450850136125
LTV1	-1.463452504	5.23261221075027	-40.77574753	2.8288091622745e-08	4.93512501304267e-06	10.2332174962454
TRIM28	-1.277708739	7.36922830122836	-40.5989667	2.89982135408873e-08	4.93512501304267e-06	10.208574550037
WIPI1	3.69290742739647	4.25170807199074	40.5878913131071	2.90433954570525e-08	4.93512501304267e-06	10.2070260221823
H2AX	-1.685580395	4.31368138844948	-40.58109282	2.9071170786036e-08	4.93512501304267e-06	10.206075204985
FBN2	-1.899512579	2.81104411285777	-40.55149841	2.91924430157497e-08	4.93512501304267e-06	10.2019338114613
DHX37	-1.751186909	3.84534453760268	-40.2788574	3.03380739911911e-08	4.93512501304267e-06	10.1635956350027
SAMD11	-1.623702744	3.69686250984922	-40.19125539	3.07173249367941e-08	4.93512501304267e-06	10.1512058600011
HNRNPAB	-1.353929182	8.00594573453274	-40.11881845	3.10351322204477e-08	4.93512501304267e-06	10.1409345225222
PPHLN1	-1.603051002	5.13198507240432	-40.06575806	3.12703787022661e-08	4.93512501304267e-06	10.133395507435
SAT1	3.41274018309748	6.49035348034867	40.0581563458827	3.1304252550021e-08	4.93512501304267e-06	10.1323143726246
NNMT	-1.815322844	4.35601471574113	-39.95265398	3.1778857113061e-08	4.93512501304267e-06	10.1172821673544
POLR1A	-1.684349559	3.03411577719422	-39.94458474	3.18155032812566e-08	4.93512501304267e-06	10.1161303376753
DCTPP1	-1.909264514	5.92072961328231	-39.88073054	3.21072516181058e-08	4.93512501304267e-06	10.1070049831248
ETHE1	1.51986558829896	5.72095487628176	39.8156362430295	3.24079047242482e-08	4.93512501304267e-06	10.0976830088545
IFT20	1.22463497314993	4.91802005039388	39.7700315490524	3.26205105467963e-08	4.93512501304267e-06	10.0911403867399
SLC31A1	1.26570544820728	3.91775034072987	39.5830147200438	3.35096753388008e-08	4.93512501304267e-06	10.0642089457733
ALPP	-4.573679549	5.56975607863816	-39.54340973	3.3701609552436e-08	4.93512501304267e-06	10.0584846222143
PDLIM7	1.1521873223173	6.3237132784559	39.5353573152785	3.37407909941774e-08	4.93512501304267e-06	10.0573198626851
GCH1	1.83201017893241	2.99183866779379	39.4742771780153	3.40397427357822e-08	4.93512501304267e-06	10.0484748588786
SH3BP2	1.75557331291266	2.75339173636845	39.3093937721355	3.4862410472876e-08	4.93512501304267e-06	10.0245101905043
DDX60	1.47889211587813	1.5271540472526	39.0798038123923	3.60471398180603e-08	4.93512501304267e-06	9.99092556137375
ZBTB12	-2.272231842	1.92552144877934	-38.92105673	3.6893982621206e-08	4.93512501304267e-06	9.96755603225687
CHDH	-1.498516786	1.56450945420338	-38.8553541	3.72512964969635e-08	4.93512501304267e-06	9.95784816396049
HSD17B10	-1.380082851	7.32499005118365	-38.84024273	3.73340511762805e-08	4.93512501304267e-06	9.95561242719721
FSTL3	-1.559555668	5.80255400995715	-38.81081305	3.74958378591198e-08	4.93512501304267e-06	9.95125510236812
TXN	-1.41132751	9.05715489120544	-38.80466784	3.75297242917075e-08	4.93512501304267e-06	9.95034471922571
GBE1	-1.106547589	4.29770732123157	-38.76247739	3.7763348106819e-08	4.93512501304267e-06	9.94408943372604
NELFCD	-1.308793838	5.7038010930126	-38.75196394	3.78218303604023e-08	4.93512501304267e-06	9.94252932784368
SGK1	-2.297794539	4.55449424851483	-38.66261711	3.83231479820128e-08	4.93512501304267e-06	9.92924922338026
HSPB1	-1.644749059	8.34305835643676	-38.6214808	3.85565809926173e-08	4.93512501304267e-06	9.92312176898005
COA7	-1.63974135	4.93527413138172	-38.60914902	3.86268841739018e-08	4.93512501304267e-06	9.92128327162472
ATAD3B	-1.765032987	4.37033048924935	-38.58535006	3.87629874156932e-08	4.93512501304267e-06	9.91773306503647
RAB2B	1.28966511084395	3.05509383575689	38.5661243491186	3.8873348109817e-08	4.93512501304267e-06	9.91486303823567
TRA2B	-1.520802699	6.09163982733691	-38.51645678	3.91601650887225e-08	4.93512501304267e-06	9.90744020257721
BAG1	-2.395538676	4.67317395137282	-38.42483626	3.96957951799289e-08	4.93512501304267e-06	9.89371551576864
ANO2	-2.202619233	1.14784310460127	-38.41487134	3.97545689693612e-08	4.93512501304267e-06	9.89222027220522
NOP56	-2.307154802	6.40036833768237	-38.35471903	4.01115292751034e-08	4.93512501304267e-06	9.88318390364688
RBM3	-1.842750758	5.52661865133542	-38.3165932	4.0339727082733e-08	4.93512501304267e-06	9.87744714284982
WDR81	-1.744503862	2.09830715665604	-38.18719729	4.11256583421495e-08	4.93512501304267e-06	9.85792295288954
NOP53	1.36887494663747	8.04038758041446	38.1593889550309	4.12969009277961e-08	4.93512501304267e-06	9.85371608426622
HSP90AA1	-2.170324356	8.29702283491594	-38.0681413	4.18647101993611e-08	4.93512501304267e-06	9.83988475153373
ITGA2	2.18538479499841	2.98304340615488	38.0374358545391	4.2057839548159e-08	4.93512501304267e-06	9.83522097940723
LIF	1.8202104059396	4.37171396633195	38.0038587047882	4.22702297928366e-08	4.93512501304267e-06	9.83011557716693
TESK2	2.4296689075026	1.81728746843048	37.9921761131179	4.2344422450305e-08	4.93512501304267e-06	9.82833790264511
PHLDB2	2.0696911420027	2.94145958207957	37.9423310335116	4.26626964941739e-08	4.93512501304267e-06	9.8207454854432
TNIP1	1.53996284929862	6.06605817367759	37.875558331252	4.30934702684792e-08	4.93512501304267e-06	9.81055487574952
CDC123	-1.467213855	6.59636939733498	-37.76998293	4.37850403940563e-08	4.93512501304267e-06	9.79439596562795
NOP2	-1.146032883	6.29199215259266	-37.75984322	4.38521437086334e-08	4.93512501304267e-06	9.7928410271274
COX18	-1.427746915	1.49583119752626	-37.73282335	4.40315482640887e-08	4.93512501304267e-06	9.78869491862836
UBXN8	-1.770898732	3.49758315196356	-37.72779748	4.40650136197692e-08	4.93512501304267e-06	9.78792330339195
GLIS2	1.6717127496604	3.97468380523478	37.7042737875409	4.42220466096927e-08	4.93512501304267e-06	9.78431001525659
LMNB1	-2.00729438	5.3959196368583	-37.70327327	4.42287401431211e-08	4.93512501304267e-06	9.78415627067608
TGM1	-1.612268802	1.11634940175238	-37.64808023	4.45998351053337e-08	4.93512501304267e-06	9.77566705564186
HSP90AB1	-1.764493452	10.2576929266882	-37.60098379	4.49193851831979e-08	4.93512501304267e-06	9.76841076700649
CLN6	-1.464117701	4.34819360062223	-37.56627043	4.51566373686764e-08	4.93512501304267e-06	9.76305504680118
ZSWIM4	2.96295072286591	3.06237349471679	37.5576600136421	4.52157137518547e-08	4.93512501304267e-06	9.76172563110091
COG6	1.7712490636547	3.56824984734072	37.4456602818479	4.59924750458738e-08	4.93512501304267e-06	9.7443982902361
TRIM47	-1.465143574	4.40918334829624	-37.41051353	4.62394535762588e-08	4.93512501304267e-06	9.73894734027686
DHRS3	2.8244955298078	2.37345470366579	37.3998586503096	4.63146335129583e-08	4.93512501304267e-06	9.73729359029748
GAGE12H	-1.451198083	8.42679430996072	-37.35687193	4.66194052349316e-08	4.93512501304267e-06	9.73061558195723
PSMA7	-1.360558768	9.01244887224505	-37.34205742	4.67249837996204e-08	4.93512501304267e-06	9.72831190431897
IPO4	-1.575883298	4.64087106845585	-36.99710484	4.92645963451922e-08	5.12275359769159e-06	9.67434485067579
SLC38A5	-2.257557982	6.38535790434745	-36.99165323	4.93060145718632e-08	5.12275359769159e-06	9.67348690338734
RAE1	-1.520726402	5.41605235904554	-36.8389113	5.04832538987995e-08	5.12275359769159e-06	9.6493846417698
CLK3	1.35109750757202	4.48608912579347	36.8350535002242	5.05134120603518e-08	5.12275359769159e-06	9.64877427382035
TNFRSF10D	1.40181531127623	3.60957217735873	36.7798294919133	5.09474496926814e-08	5.12275359769159e-06	9.64002816642999
INAVA	-1.65574793	3.22241985284813	-36.76235607	5.10856943549314e-08	5.12275359769159e-06	9.63725739548917
MANEAL	-2.094398225	4.65902644013337	-36.75631988	5.11335532513619e-08	5.12275359769159e-06	9.63629985129753
SDCBP	1.07088225046729	5.9786558291781	36.7508003191621	5.11773620925115e-08	5.12275359769159e-06	9.63542408932797
TCP1	-1.359857237	7.3812433399245	-36.69759859	5.16018920702372e-08	5.12462322952908e-06	9.62697440728174
EIF4A3	-1.11744871	5.91671822769597	-36.62626136	5.21776431794167e-08	5.12462322952908e-06	9.61562036486629
PGM3	1.91410348617211	4.69665353654392	36.5840716965731	5.2521697976827e-08	5.12462322952908e-06	9.60889246740556
MRPS17	-1.32972639	4.3010824336251	-36.5339449	5.29339479508884e-08	5.12462322952908e-06	9.60088627217791
DKC1	-1.171796285	6.96054411795758	-36.52340077	5.30211473461692e-08	5.12462322952908e-06	9.59920043288317
GPR107	1.10062063719393	5.0688818780813	36.5013889574962	5.32037279461393e-08	5.12462322952908e-06	9.59567913923523
PDE4DIP	1.31812111655618	2.82201507766749	36.4362701686802	5.37482041914807e-08	5.14471091995329e-06	9.58524639750071
MTARC1	-1.38863155	6.54345828938984	-36.31860206	5.4748742129057e-08	5.20793158823918e-06	9.56633571641902
ATG16L2	2.74433564198476	3.0696537510853	36.2585324353377	5.52679411324989e-08	5.20996250222184e-06	9.55665241239713
USP5	-1.249201072	5.02338909053293	-36.20478122	5.57374348807362e-08	5.20996250222184e-06	9.54797073411948
GOLPH3L	1.74827040707932	4.45826452617233	36.1987219601944	5.57906529784121e-08	5.20996250222184e-06	9.54699106415957
ARMC6	-1.773463154	4.50108686926547	-36.15308672	5.61933870538807e-08	5.21576801654656e-06	9.5396061405448
PPP1R15B	2.41384098075879	6.00717985791417	36.0452013735444	5.71591324743124e-08	5.24508638506859e-06	9.52210150894419
ORMDL3	1.07621005622742	3.58828186855064	36.0413224239151	5.7194216539762e-08	5.24508638506859e-06	9.52147093142854
MT1E	-3.386524343	6.03576856069391	-35.91873167	5.83161552073209e-08	5.31614236309595e-06	9.50149865834471
HSPD1	-1.298547885	9.28282775833836	-35.827856	5.91645359484665e-08	5.33628581949498e-06	9.48663880293516
CEP120	0.991535327763901	3.0126140046613	35.8204839161311	5.92339921197615e-08	5.33628581949498e-06	9.48543128677488
SLC38A7	-1.77587349	2.34834385934515	-35.69945162	6.03881018763643e-08	5.36947792070351e-06	9.46556266277845
SNAP23	1.07893110283478	4.2870876607818	35.6811732691486	6.05646813376604e-08	5.36947792070351e-06	9.46255486122271
CA5B	1.30475654278751	1.84543703322197	35.6719266771409	6.06542396527396e-08	5.36947792070351e-06	9.46103255929889
C1QBP	-1.467753824	8.00461123844894	-35.54870196	6.18627071266513e-08	5.44498482554405e-06	9.44069898461939
RCC1	-1.665447849	6.2381314480589	-35.50058607	6.23422393214244e-08	5.45583654404351e-06	9.43273566146186
NCLN	-1.900161941	4.69984650789792	-35.40969354	6.32600531976362e-08	5.50470292455567e-06	9.41765631087709
NOP58	-1.990288827	5.66947598766235	-35.28667515	6.45276564689078e-08	5.55905730414352e-06	9.39717109638068
ZNF469	-2.482626227	1.94302252939922	-35.24384421	6.49759762085665e-08	5.55905730414352e-06	9.39001818875816
FLRT3	2.08504784309954	2.06116598469285	35.2382518378145	6.50347821034358e-08	5.55905730414352e-06	9.38908345605446
SEC24D	1.09240430144249	5.01399370945871	35.1968656705453	6.54719211005261e-08	5.55905730414352e-06	9.38216031906589
DUS3L	-1.413428339	4.14813346826538	-35.17543845	6.56995998726724e-08	5.55905730414352e-06	9.37857201021443
A4GALT	2.31307262658331	2.23527661049346	35.1260185097887	6.62282737976885e-08	5.57162160129961e-06	9.37028565479758
KYAT1	1.58297642765433	4.16685861704514	35.0834179456957	6.66880087611013e-08	5.57162160129961e-06	9.3631312206402
AP3S1	0.981247290779698	6.28818351692121	35.0602599752522	6.6939495568993e-08	5.57162160129961e-06	9.35923754325681
SNRPC	-1.2739351	8.14722810617271	-34.93417574	6.83284170030215e-08	5.62138354112796e-06	9.33798280748926
STX1A	1.45926780345455	3.34533665326969	34.9338893944582	6.83316095960232e-08	5.62138354112796e-06	9.33793443000133
RIOX1	-1.117146744	2.94601974489073	-34.90498844	6.86547446375958e-08	5.62138354112796e-06	9.33304913014591
IQCD	1.36915221816393	0.795236214700472	34.8737922920687	6.90055570180906e-08	5.62138354112796e-06	9.32777029516934
HNRNPD	-1.641121635	6.6595734809785	-34.71306894	7.08466532308622e-08	5.73482774959961e-06	9.30048167071972
ACOT7	-1.475934062	5.10814993774631	-34.67127945	7.13347614666024e-08	5.73482774959961e-06	9.2933610585267
DTYMK	-1.578190621	4.30633701133828	-34.65537867	7.15215213955942e-08	5.73482774959961e-06	9.29064892995934
PPIC	1.47766818018176	4.05737064429217	34.6016999731499	7.21562490499086e-08	5.75558830312162e-06	9.2814819388309
H2BC12	-1.680993517	4.8067714859297	-34.41456122	7.44213979525233e-08	5.80053880682282e-06	9.24938696870628
EIF5A	-1.805954908	8.97052110831844	-34.36979348	7.49755811883206e-08	5.80053880682282e-06	9.24167757675884
PLCL2	-1.25809863	3.09165398240671	-34.3589883	7.51100641781413e-08	5.80053880682282e-06	9.23981499811477
SEC22B	1.19835568524537	5.51833420014824	34.3417584031688	7.53250966255399e-08	5.80053880682282e-06	9.2368434589722
FBXO9	-1.389804776	4.58237150030983	-34.32873529	7.54881071620547e-08	5.80053880682282e-06	9.23459623492492
DHODH	-1.535286518	2.88886089618527	-34.28261283	7.60687631999275e-08	5.80053880682282e-06	9.22662913787806
FLOT1	1.72609848124069	6.85919724550303	34.2275838020266	7.67684217694516e-08	5.80053880682282e-06	9.21710644767025
WDR77	-1.603026006	5.44906715346162	-34.13787153	7.7925321474601e-08	5.80053880682282e-06	9.20154186362278
SLC19A1	-1.950599757	3.31875621546465	-34.13665087	7.79412032830255e-08	5.80053880682282e-06	9.20132974277495
SNRPD3	-1.335429201	5.08050706647741	-34.12116889	7.81429667236795e-08	5.80053880682282e-06	9.19863855535623
UBALD2	1.67621182163502	3.58390039622248	34.088976887485	7.85644640627671e-08	5.80053880682282e-06	9.19303795758257
ECHS1	-1.270659886	6.50398249189413	-34.0511622	7.9062994162053e-08	5.80053880682282e-06	9.18645093979688
CFB	2.74451344538149	4.26974081444797	34.0498644945841	7.90801683129652e-08	5.80053880682282e-06	9.18622473154683
LYSMD3	1.77970928010813	3.80803134795893	34.0021499426326	7.97146844793878e-08	5.80053880682282e-06	9.17790015874215
SLC2A13	1.70901084451447	3.03244450419231	33.9653676455352	8.02079036361421e-08	5.80053880682282e-06	9.17147320641083
SLC9A7	1.43136883423808	1.90166098382421	33.9495088015965	8.04216619322116e-08	5.80053880682282e-06	9.16869959160157
TIMM23	-0.998933528	6.31417382790555	-33.94380645	8.04986861861297e-08	5.80053880682282e-06	9.16770190164341
CCT5	-1.267584476	8.80206327149849	-33.93970698	8.055411322783e-08	5.80053880682282e-06	9.1669845263855
PLEKHH3	1.26056011013479	3.22101016292588	33.8920913036887	8.12011954491886e-08	5.80053880682282e-06	9.15864445732623
H4C4	-0.910719055	0.455359527743695	-33.86324545	8.15961696637254e-08	5.80053880682282e-06	9.15358507940317
WDR3	-1.195036754	3.96674256228465	-33.85980542	8.16434229168898e-08	5.80053880682282e-06	9.15298137144656
SLC43A3	-1.773751203	6.48991388631568	-33.85287439	8.17387272372246e-08	5.80053880682282e-06	9.15176478377592
CD68	1.5624436893524	5.8626684871267	33.8118036486323	8.23061526679714e-08	5.80053880682282e-06	9.1445495357211
WDR4	-2.156338911	4.19534301245557	-33.79067124	8.25999152834363e-08	5.80053880682282e-06	9.14083288404743
ARSB	-1.464743327	1.70732398336746	-33.74234272	8.32763708473092e-08	5.80053880682282e-06	9.13232253837995
DDX47	-1.201662623	5.98117059786085	-33.72649838	8.34995585895086e-08	5.80053880682282e-06	9.12952923705548
MYO1G	3.50019153872609	4.83391505909978	33.6608877283835	8.44312748168177e-08	5.80053880682282e-06	9.11794537608828
TRIM56	1.21678065578983	3.83641315839084	33.6074915833935	8.51985539261382e-08	5.80053880682282e-06	9.10849785849492
CCDC82	1.06919106523693	4.68107085766986	33.6063484946917	8.5215068886164e-08	5.80053880682282e-06	9.10829541040315
PRAF2	1.53818315100753	5.23115737376453	33.5742687808721	8.56800821127452e-08	5.80053880682282e-06	9.10261049610958
RRP1	-1.510837049	5.07809990737884	-33.57234272	8.57080961444093e-08	5.80053880682282e-06	9.10226896526674
HSPA8	-2.700159875	8.76634695230029	-33.55934754	8.58973884103765e-08	5.80053880682282e-06	9.09996403354096
PTMS	-1.190772401	7.77848427150964	-33.55632433	8.59414959076808e-08	5.80053880682282e-06	9.09942765707578
C11orf68	2.49474482752807	5.29247428078707	33.5193526510038	8.64830551522212e-08	5.80053880682282e-06	9.09286343416318
SNRPD1	-1.361253374	4.3316997624494	-33.51744354	8.65111283069529e-08	5.80053880682282e-06	9.09252423917384
OSGIN2	1.55359503176495	3.02809314477636	33.5105667934005	8.66123384492242e-08	5.80053880682282e-06	9.09130224198804
TSC22D1	1.63212586565654	6.24779805968749	33.4957224241479	8.68312882104771e-08	5.80053880682282e-06	9.08866336612119
ABCA13	-1.199068944	0.646825206584106	-33.47673881	8.71122380391282e-08	5.80053880682282e-06	9.08528659966422
GSN	2.18091144054631	2.73311757128531	33.4195099990346	8.79656817066859e-08	5.8320104560082e-06	9.07509284618006
PJA2	1.54085405435072	4.89020594821816	33.3605533837195	8.88551752802916e-08	5.85427341101028e-06	9.06456927382182
HSPA13	2.18018050166292	4.49305907768719	33.3466815896066	8.9065994434567e-08	5.85427341101028e-06	9.06208994065807
SMAD3	1.21342815599612	3.55578514637421	33.3048739730492	8.970493422178e-08	5.87107293848958e-06	9.05461005253119
CPD	1.16294730140484	4.07346635982241	33.2655594783587	9.0310686283291e-08	5.88556664012171e-06	9.04756587877963
FHL1	2.06605318963547	4.555108899	33.1864965186763	9.15434774149677e-08	5.91767301131511e-06	9.03336935356066
FAIM	-2.26648217	4.10009239574383	-33.18441912	9.15761347490487e-08	5.91767301131511e-06	9.03299578678579
NDUFA9	-0.978880778	2.89265473813858	-33.09204845	9.30421493938828e-08	5.95494297561828e-06	9.01635680230965
