UMAP_1	UMAP_2	CellType_final	RRM2_Group	cell_id
5.685400953	-10.9033131	Macrophages	RRM2low	cell77
6.827275266	-4.558879796	DCs	RRM2low	cell78
7.067889681	-5.318590584	DCs	RRM2low	cell79
7.39273261	-7.214842263	DCs	RRM2low	cell80
6.174050321	-10.71318382	Macrophages	RRM2low	cell81
4.933350076	-10.87965721	Macrophages	RRM2low	cell82
5.49480628	-10.46768135	Macrophages	RRM2low	cell83
6.051994314	-10.51614231	Macrophages	RRM2low	cell84
5.230195036	-11.15944523	Macrophages	RRM2low	cell85
6.537958135	-9.949566308	Macrophages	RRM2low	cell86
6.882119646	-5.04427475	DCs	RRM2low	cell87
5.838011255	-11.31361622	Macrophages	RRM2low	cell88
6.982908239	-6.238229695	DCs	RRM2low	cell89
11.03856181	-6.620131913	Monocytes	RRM2low	cell90
6.217096796	-10.56192535	Macrophages	RRM2low	cell91
6.211125841	-10.91060776	Macrophages	RRM2low	cell92
6.831760397	-4.669739667	DCs	RRM2low	cell93
5.962100019	-9.405752602	Macrophages	RRM2low	cell94
5.417599191	-9.464096489	Macrophages	RRM2low	cell95
6.141661157	-10.89884323	Macrophages	RRM2low	cell96
5.185593595	-11.08923573	Macrophages	RRM2low	cell97
6.448137273	-10.62199158	Macrophages	RRM2low	cell98
5.027933111	-10.94887108	Macrophages	RRM2low	cell99
4.820745458	-10.95754475	Macrophages	RRM2low	cell100
5.664993753	-9.207221451	Macrophages	RRM2low	cell101
5.064222326	-11.13092274	Macrophages	RRM2low	cell102
6.847202291	-4.113248053	DCs	RRM2low	cell103
4.951976289	-10.84249062	Macrophages	RRM2low	cell104
6.660437574	-5.280142727	DCs	RRM2low	cell105
5.17670249	-11.37517208	Macrophages	RRM2low	cell106
11.02240085	-6.522362652	Monocytes	RRM2low	cell107
5.158668031	-11.52090496	Macrophages	RRM2low	cell108
5.395960321	-9.552697602	Macrophages	RRM2low	cell109
6.612257948	-5.038467827	DCs	RRM2low	cell110
7.085082998	-6.883256856	DCs	RRM2low	cell111
6.945145597	-4.954115334	DCs	RRM2low	cell112
6.174029817	-9.872831765	Macrophages	RRM2low	cell113
6.702303877	-4.81617445	DCs	RRM2low	cell114
6.371000757	-10.44318527	Macrophages	RRM2low	cell115
5.429809084	-11.42964024	Macrophages	RRM2low	cell116
6.515639772	-9.941920701	Macrophages	RRM2low	cell117
6.324217786	-10.60797733	Macrophages	RRM2low	cell118
6.670426836	-10.15003437	Macrophages	RRM2low	cell119
6.248467436	-10.15438789	Macrophages	RRM2low	cell120
5.776867857	-11.25952286	Macrophages	RRM2low	cell121
6.26247262	-9.069962922	Macrophages	RRM2low	cell122
4.945349683	-10.6405291	Macrophages	RRM2low	cell123
6.909239759	-5.167322579	DCs	RRM2low	cell124
11.39787768	-6.457557145	Monocytes	RRM2low	cell125
5.915979852	-10.8640818	Macrophages	RRM2low	cell126
11.20953654	-6.457270089	Monocytes	RRM2low	cell127
4.56071805	-11.38481754	Macrophages	RRM2low	cell128
6.614246359	-10.35939354	Macrophages	RRM2low	cell129
10.39009189	-6.859360161	Monocytes	RRM2low	cell130
6.654150476	-9.803125802	Macrophages	RRM2low	cell131
5.106099119	-10.48704475	Macrophages	RRM2low	cell132
6.799857607	-4.381944123	DCs	RRM2low	cell133
5.475999345	-11.11002773	Macrophages	RRM2low	cell134
6.817457666	-4.778059903	DCs	RRM2low	cell135
5.849974146	-11.1354298	Macrophages	RRM2low	cell136
11.268754	-6.491752568	Monocytes	RRM2low	cell137
11.17457103	-6.496876183	Monocytes	RRM2low	cell138
6.991547575	-4.68305439	DCs	RRM2low	cell139
8.109142294	-7.725324574	Monocytes	RRM2low	cell140
10.719635	-6.589406434	Monocytes	RRM2low	cell141
5.035751333	-11.72573895	Macrophages	RRM2low	cell142
6.666689863	-4.694740716	DCs	RRM2low	cell143
5.794918527	-11.08993477	Macrophages	RRM2low	cell144
6.911545744	-5.862859669	DCs	RRM2low	cell145
6.353198995	-10.67053455	Macrophages	RRM2low	cell146
5.634864797	-8.165849629	Macrophages	RRM2high	cell147
9.507482519	-7.550959054	Monocytes	RRM2high	cell148
5.295286169	-9.185079995	Macrophages	RRM2high	cell149
5.882547846	-8.252162877	Macrophages	RRM2high	cell150
10.5768051	-6.335672322	Monocytes	RRM2high	cell151
6.964451303	-7.932069722	Macrophages	RRM2high	cell152
6.598252287	-7.096551838	Macrophages	RRM2high	cell153
9.848199835	-6.518320504	Monocytes	RRM2high	cell154
6.738239278	-5.770913067	DCs	RRM2high	cell155
3.597840061	-7.235266152	Macrophages	RRM2high	cell156
3.987612238	-7.901051465	Macrophages	RRM2high	cell157
6.580869188	-8.353808823	Macrophages	RRM2high	cell158
6.157310953	-6.690469208	DCs	RRM2high	cell159
4.125560274	-8.018453541	Macrophages	RRM2high	cell160
6.279661646	-8.540118638	Macrophages	RRM2high	cell161
8.708782186	-6.625917855	Monocytes	RRM2high	cell162
4.279201021	-7.476505223	Macrophages	RRM2high	cell163
6.894052972	-5.938344422	DCs	RRM2high	cell164
4.572027197	-7.35806984	Macrophages	RRM2high	cell165
11.16299628	-6.476474705	Monocytes	RRM2high	cell166
3.674542894	-6.957867089	Macrophages	RRM2high	cell167
5.964448442	-5.357569161	DCs	RRM2high	cell168
10.66849326	-6.785777989	Monocytes	RRM2high	cell169
5.447368612	-6.877575341	Macrophages	RRM2high	cell170
5.572165956	-6.19153637	DCs	RRM2high	cell171
8.962197294	-7.400557461	Monocytes	RRM2high	cell172
5.599423875	-7.454665127	Macrophages	RRM2high	cell173
3.673646917	-7.359284821	Macrophages	RRM2high	cell174
6.07975625	-7.842467251	Macrophages	RRM2high	cell175
6.747960081	-5.617669049	DCs	RRM2high	cell176
-6.235477934	0.615198848	nonMalignant	RRM2high	cell177
3.799253454	-6.96160883	Macrophages	RRM2high	cell178
4.698064794	-7.020052853	Macrophages	RRM2high	cell179
7.459512224	-7.809631291	Macrophages	RRM2high	cell180
11.00475596	-7.218268815	Monocytes	RRM2high	cell181
8.046642294	-7.887707177	Macrophages	RRM2high	cell182
4.8544526	-7.640448514	Macrophages	RRM2high	cell183
5.618388166	-6.814918938	Macrophages	RRM2high	cell184
3.846101274	-7.361876431	Macrophages	RRM2high	cell185
-5.976645956	0.248707292	nonMalignant	RRM2high	cell186
4.495187273	-7.282876435	Macrophages	RRM2high	cell187
6.519531717	-9.305834237	Macrophages	RRM2high	cell188
5.202588072	-7.159815732	Macrophages	RRM2high	cell189
10.36563682	-6.400754872	Monocytes	RRM2high	cell190
4.008429041	-8.510923806	Macrophages	RRM2high	cell191
6.991817941	-7.589254323	Macrophages	RRM2high	cell192
4.704481115	-8.956963006	Macrophages	RRM2high	cell193
4.767946233	-8.776927414	Macrophages	RRM2high	cell194
4.699748029	-7.022707406	Macrophages	RRM2high	cell195
3.704837789	-6.671379033	Macrophages	RRM2high	cell196
4.877696027	-6.741797391	Macrophages	RRM2high	cell197
9.398289671	-7.512406292	Monocytes	RRM2high	cell198
3.772118082	-6.997947636	Macrophages	RRM2high	cell199
4.315060606	-7.74915165	Macrophages	RRM2high	cell200
-6.145833979	0.393399653	nonMalignant	RRM2high	cell201
3.666277876	-7.202678624	Macrophages	RRM2high	cell202
7.92123126	-7.993157807	Macrophages	RRM2high	cell203
5.629832735	-7.593988839	Macrophages	RRM2high	cell204
5.639363756	-6.913063946	Macrophages	RRM2high	cell205
10.26602458	-6.569377366	Monocytes	RRM2high	cell206
5.137491216	-7.293756428	Macrophages	RRM2high	cell207
4.531956663	-8.399208489	Macrophages	RRM2high	cell208
11.22530936	-6.232459488	Monocytes	RRM2high	cell209
-6.167593489	0.452172753	nonMalignant	RRM2high	cell210
11.15425109	-6.454057637	Monocytes	RRM2high	cell211
9.418095579	-7.497476998	Monocytes	RRM2high	cell212
5.827926149	-7.840391579	Macrophages	RRM2high	cell213
6.028783312	-8.494653168	Macrophages	RRM2high	cell214
3.549034824	-7.39816803	Macrophages	RRM2high	cell215
3.815221777	-7.221992436	Macrophages	RRM2high	cell216
6.956496229	-7.330708447	Macrophages	RRM2high	cell217
4.647057523	-9.222093049	Macrophages	RRM2high	cell218
10.47359847	-6.709064904	Monocytes	RRM2high	cell219
4.286700239	-7.383954945	Macrophages	RRM2high	cell220
5.455925455	-7.892120781	Macrophages	RRM2high	cell221
11.5315113	-6.725745621	Monocytes	RRM2high	cell222
4.104603281	-6.957920018	Macrophages	RRM2high	cell223
4.013520708	-7.415722313	Macrophages	RRM2high	cell224
4.163981905	-6.937642518	Macrophages	RRM2high	cell225
4.314723005	-7.659329835	Macrophages	RRM2high	cell226
3.667290678	-7.105419102	Macrophages	RRM2high	cell227
5.444284429	-9.291132393	Macrophages	RRM2high	cell228
-5.811148177	0.185227183	nonMalignant	RRM2high	cell229
3.713196745	-7.084843102	Macrophages	RRM2high	cell230
5.112163057	-10.59117645	Macrophages	RRM2high	cell231
-5.72559453	-0.859494331	Malignant	RRM2high	cell232
9.706454267	-6.528765622	Monocytes	RRM2high	cell233
6.391756048	-6.236541691	DCs	RRM2high	cell234
7.888448705	-8.045302334	Macrophages	RRM2high	cell235
6.01134633	-8.36556572	Macrophages	RRM2high	cell236
10.55752753	-6.561902943	Monocytes	RRM2high	cell237
4.984154215	-10.02604527	Macrophages	RRM2high	cell238
8.937409391	-6.636587563	Monocytes	RRM2high	cell239
3.937801351	-7.077592793	Macrophages	RRM2high	cell240
6.538651457	-7.489040318	Macrophages	RRM2high	cell241
3.10260724	-7.260902825	Macrophages	RRM2high	cell242
6.129898061	-8.184337082	Macrophages	RRM2high	cell243
10.46771716	-6.382283154	Monocytes	RRM2high	cell244
4.496797552	-6.95362896	Macrophages	RRM2high	cell245
4.6090207	-8.067776146	Macrophages	RRM2high	cell246
3.963568201	-7.615378323	Macrophages	RRM2high	cell247
5.082145681	-6.882587376	Macrophages	RRM2high	cell248
4.150549879	-7.029348794	Macrophages	RRM2high	cell249
5.172183981	-7.09992117	Macrophages	RRM2high	cell250
6.918679704	-5.607396069	DCs	RRM2high	cell251
5.455971708	-7.296754304	Macrophages	RRM2high	cell252
4.328229417	-8.698568764	Macrophages	RRM2high	cell253
5.217810621	-9.352198067	Macrophages	RRM2high	cell254
4.173571577	-7.031050625	Macrophages	RRM2high	cell255
8.640012731	-6.587558213	Monocytes	RRM2high	cell256
8.296236982	-7.534066144	Macrophages	RRM2high	cell257
7.329425802	-7.859008256	Macrophages	RRM2high	cell258
5.709222784	-7.415156308	Macrophages	RRM2high	cell259
10.85777568	-6.412073079	Monocytes	RRM2high	cell260
11.03001594	-6.670220318	Monocytes	RRM2high	cell261
8.125388136	-7.078785363	Monocytes	RRM2high	cell262
9.7096033	-6.52136797	Monocytes	RRM2high	cell263
8.24838542	-7.706355038	Monocytes	RRM2high	cell264
6.662304868	-8.846448365	Macrophages	RRM2high	cell265
7.073483457	-7.308763447	Macrophages	RRM2high	cell266
8.767272939	-7.536904278	Monocytes	RRM2high	cell267
10.56429957	-6.347726288	Monocytes	RRM2high	cell268
3.886685838	-8.144851628	Macrophages	RRM2high	cell269
4.00756072	-7.407632294	Macrophages	RRM2high	cell270
8.351370802	-7.211410943	Monocytes	RRM2high	cell271
3.69150876	-7.642538968	Macrophages	RRM2high	cell272
-5.628524313	0.659389672	nonMalignant	RRM2high	cell273
8.829886427	-6.758655968	Monocytes	RRM2high	cell274
8.885144224	-6.546643677	Monocytes	RRM2high	cell275
3.976389398	-8.060646477	Macrophages	RRM2high	cell276
4.246452799	-8.083136025	Macrophages	RRM2high	cell277
6.359342565	-5.948505822	DCs	RRM2high	cell278
4.916235914	-7.50795311	Macrophages	RRM2high	cell279
3.744850626	-7.706388417	Macrophages	RRM2high	cell280
7.462017526	-7.602367344	Macrophages	RRM2high	cell281
11.22961616	-6.110158387	Monocytes	RRM2high	cell282
3.892763128	-7.088713112	Macrophages	RRM2high	cell283
3.820506086	-7.478217545	Macrophages	RRM2high	cell284
4.112268438	-6.781587067	Macrophages	RRM2high	cell285
9.740389814	-6.526232186	Monocytes	RRM2high	cell286
4.501139631	-6.983128491	Macrophages	RRM2high	cell287
11.47496795	-6.678630295	Monocytes	RRM2high	cell288
-5.615528593	0.685884652	nonMalignant	RRM2high	cell289
3.552124252	-7.438825551	Macrophages	RRM2high	cell290
4.574959268	-7.134128037	Macrophages	RRM2high	cell291
11.12769507	-6.249742451	Monocytes	RRM2high	cell292
5.699128141	-7.542844716	Macrophages	RRM2high	cell293
7.074540605	-7.93489975	Macrophages	RRM2high	cell294
4.913530817	-7.00119299	Macrophages	RRM2high	cell295
6.750029077	-7.253164235	Macrophages	RRM2high	cell296
6.230271806	-7.313314381	Macrophages	RRM2high	cell297
6.295170297	-7.319508973	Macrophages	RRM2high	cell298
4.709209909	-6.904608193	Macrophages	RRM2high	cell299
9.254325857	-7.04995245	Monocytes	RRM2high	cell300
4.379001131	-6.969729844	Macrophages	RRM2high	cell301
4.628329744	-8.075981083	Macrophages	RRM2high	cell302
5.85492753	-8.844868126	Macrophages	RRM2high	cell303
6.593165388	-5.173070851	DCs	RRM2high	cell304
4.301791181	-7.919715825	Macrophages	RRM2high	cell305
6.424442281	-6.459805432	DCs	RRM2high	cell306
3.504417171	-7.205268803	Macrophages	RRM2high	cell307
4.097262373	-8.260748807	Macrophages	RRM2high	cell308
4.817289819	-7.972087327	Macrophages	RRM2high	cell309
7.233980646	-7.921163502	Macrophages	RRM2high	cell310
9.683503141	-7.022911969	Monocytes	RRM2high	cell311
8.854347219	-7.365560952	Monocytes	RRM2high	cell312
7.139645567	-7.299617711	Macrophages	RRM2high	cell313
5.352957239	-7.809067669	Macrophages	RRM2high	cell314
7.975657453	-7.820829812	Macrophages	RRM2high	cell315
5.937131395	-8.11753315	Macrophages	RRM2high	cell316
4.523697366	-11.24761051	Macrophages	RRM2high	cell317
11.31002139	-6.187059346	Monocytes	RRM2high	cell318
5.499771585	-9.305356446	Macrophages	RRM2high	cell319
7.294480791	-6.103547993	DCs	RRM2high	cell320
-5.841253767	0.683084247	nonMalignant	RRM2high	cell321
6.02392291	-8.602305832	Macrophages	RRM2high	cell322
8.853734007	-7.367527428	Monocytes	RRM2high	cell323
3.68995284	-7.636010113	Macrophages	RRM2high	cell324
10.96345138	-7.100917759	Monocytes	RRM2high	cell325
6.076005926	-7.322620812	Macrophages	RRM2high	cell326
6.372003545	-4.363739911	DCs	RRM2high	cell327
4.583672037	-7.419642869	Macrophages	RRM2high	cell328
8.287734022	-7.719540539	Macrophages	RRM2high	cell329
6.061478605	-7.770027581	Macrophages	RRM2high	cell330
10.7106018	-7.050288144	Monocytes	RRM2high	cell331
4.011475553	-8.109073582	Macrophages	RRM2high	cell332
9.26584815	-7.417466584	Monocytes	RRM2high	cell333
5.505755891	-9.250754777	Macrophages	RRM2high	cell334
7.511542787	-7.959619465	Macrophages	RRM2high	cell335
9.474784841	-7.195764485	Monocytes	RRM2high	cell336
7.037259569	-7.971013489	Macrophages	RRM2high	cell337
7.791218748	-8.139221135	Macrophages	RRM2high	cell338
9.496916761	-7.245974484	Monocytes	RRM2high	cell339
11.06800174	-6.392419758	Monocytes	RRM2high	cell340
8.145328512	-7.938688698	Macrophages	RRM2high	cell341
7.3223071	-8.052353802	Macrophages	RRM2high	cell342
6.894678583	-8.522489968	Macrophages	RRM2high	cell343
9.338066091	-7.360469285	Monocytes	RRM2high	cell344
7.771334638	-8.006532136	Macrophages	RRM2high	cell345
6.65918683	-7.44992632	Macrophages	RRM2high	cell346
6.922730436	-5.928956452	DCs	RRM2high	cell347
5.970698824	-7.287985268	Macrophages	RRM2high	cell348
7.018504133	-7.485909405	Macrophages	RRM2high	cell349
6.648465624	-7.539328042	Macrophages	RRM2high	cell350
9.732570638	-7.279380742	Monocytes	RRM2high	cell351
6.149683942	-7.619402829	Macrophages	RRM2high	cell352
5.541004171	-7.011385384	Macrophages	RRM2high	cell353
7.215473165	-7.579777661	Macrophages	RRM2high	cell354
5.626601686	-7.863842431	Macrophages	RRM2high	cell355
4.763355722	-6.932495537	Macrophages	RRM2high	cell356
4.049143305	-7.680534306	Macrophages	RRM2high	cell357
4.791226854	-8.915682259	Macrophages	RRM2high	cell358
8.0387535	-7.603001538	Macrophages	RRM2high	cell359
6.145524015	-7.24666113	Macrophages	RRM2high	cell360
5.695380678	-7.250444356	Macrophages	RRM2high	cell361
7.712756147	-8.01886982	Macrophages	RRM2high	cell362
5.791011324	-7.812125626	Macrophages	RRM2high	cell363
10.75039481	-6.169111672	Monocytes	RRM2high	cell364
4.012766351	-7.50474638	Macrophages	RRM2high	cell365
4.882035722	-7.547350827	Macrophages	RRM2high	cell366
5.903997888	-7.399624291	Macrophages	RRM2high	cell367
6.490620126	-7.448756638	Macrophages	RRM2high	cell368
4.238212099	-7.229289952	Macrophages	RRM2high	cell369
4.188249578	-7.347141686	Macrophages	RRM2high	cell370
8.925346365	-6.752424183	Monocytes	RRM2high	cell371
4.147434225	-7.128807011	Macrophages	RRM2high	cell372
8.758176794	-6.88175005	Monocytes	RRM2high	cell373
3.602375497	-7.358782712	Macrophages	RRM2high	cell374
5.74036931	-7.459392491	Macrophages	RRM2high	cell375
3.947615614	-8.109435978	Macrophages	RRM2high	cell376
4.597452631	-10.17802757	Macrophages	RRM2high	cell377
9.823087682	-6.534810963	Monocytes	RRM2high	cell378
4.461217394	-7.538879815	Macrophages	RRM2high	cell379
6.153634061	-5.437064591	DCs	RRM2high	cell380
4.64785861	-8.245042267	Macrophages	RRM2high	cell381
4.389237394	-6.866447392	Macrophages	RRM2high	cell382
8.895652761	-7.325734082	Monocytes	RRM2high	cell383
6.908222665	-4.386784974	DCs	RRM2high	cell384
7.713155737	-7.9417519	Macrophages	RRM2high	cell385
10.38343333	-6.43856186	Monocytes	RRM2high	cell386
9.715939512	-7.114915314	Monocytes	RRM2high	cell387
11.16511058	-6.204034749	Monocytes	RRM2high	cell388
5.966202249	-5.451810303	DCs	RRM2high	cell389
4.934157362	-6.854316178	Macrophages	RRM2high	cell390
11.33824824	-6.691627446	Monocytes	RRM2high	cell391
3.871817579	-7.998493138	Macrophages	RRM2high	cell392
7.681839933	-7.312654439	Macrophages	RRM2high	cell393
4.020604124	-7.165533486	Macrophages	RRM2high	cell394
9.081397047	-6.862579289	Monocytes	RRM2high	cell395
9.336027136	-7.325571003	Monocytes	RRM2high	cell396
4.007853021	-7.80908722	Macrophages	RRM2high	cell397
5.117672434	-6.656969491	Macrophages	RRM2high	cell398
6.266562452	-8.461406174	Macrophages	RRM2high	cell399
10.29454135	-6.833694878	Monocytes	RRM2high	cell400
5.61340331	-6.910940114	Macrophages	RRM2high	cell401
-5.706284533	0.067954835	nonMalignant	RRM2high	cell402
5.184771051	-6.718272152	Macrophages	RRM2high	cell403
5.440418234	-7.196483555	Macrophages	RRM2high	cell404
4.933199873	-7.212338391	Macrophages	RRM2high	cell405
6.854766836	-7.582771721	Macrophages	RRM2high	cell406
6.471115102	-4.134021941	DCs	RRM2high	cell407
4.085184564	-8.405769768	Macrophages	RRM2high	cell408
3.600407352	-7.269649449	Macrophages	RRM2high	cell409
7.990603437	-7.347835961	Macrophages	RRM2high	cell410
9.424077024	-7.39494032	Monocytes	RRM2high	cell411
6.073409071	-7.290361348	Macrophages	RRM2high	cell412
10.16552638	-7.112327996	Monocytes	RRM2high	cell413
11.37911986	-6.420132103	Monocytes	RRM2high	cell414
5.689686765	-7.392574254	Macrophages	RRM2high	cell415
7.36984395	-8.335767212	Macrophages	RRM2high	cell416
6.273877611	-8.092124405	Macrophages	RRM2high	cell417
6.75555562	-7.610327187	Macrophages	RRM2high	cell418
3.776931276	-8.152187768	Macrophages	RRM2high	cell419
5.476977815	-8.975249711	Macrophages	RRM2high	cell420
5.233103265	-7.541072789	Macrophages	RRM2high	cell421
5.287102213	-9.235981408	Macrophages	RRM2high	cell422
4.020566454	-6.980828705	Macrophages	RRM2high	cell423
4.645214548	-7.034983101	Macrophages	RRM2high	cell424
9.311338415	-6.499929371	Monocytes	RRM2high	cell425
3.999695768	-8.227333966	Macrophages	RRM2high	cell426
8.254224767	-7.71785635	Macrophages	RRM2high	cell427
6.974068632	-7.765642109	Macrophages	RRM2high	cell428
4.458533277	-9.121910515	Macrophages	RRM2high	cell429
3.634991159	-7.518525544	Macrophages	RRM2high	cell430
9.778009405	-6.597789231	Monocytes	RRM2high	cell431
3.767866602	-7.201563778	Macrophages	RRM2high	cell432
4.024136057	-7.469185296	Macrophages	RRM2high	cell433
4.167709818	-8.254519406	Macrophages	RRM2high	cell434
9.881702413	-6.381076279	Monocytes	RRM2high	cell435
4.391252031	-7.215657177	Macrophages	RRM2high	cell436
5.471356382	-7.070482197	Macrophages	RRM2high	cell437
11.11176967	-6.625081006	Monocytes	RRM2high	cell438
9.081170072	-6.69783062	Monocytes	RRM2high	cell439
4.699437608	-9.61437172	Macrophages	RRM2high	cell440
3.55188178	-7.278114739	Macrophages	RRM2high	cell441
4.489033212	-7.241539898	Macrophages	RRM2high	cell442
6.987950792	-7.556929055	Macrophages	RRM2high	cell443
5.156823148	-6.71791071	Macrophages	RRM2high	cell444
8.974053373	-7.210329953	Monocytes	RRM2high	cell445
6.909041395	-7.867541733	Macrophages	RRM2high	cell446
5.877558698	-7.208072129	Macrophages	RRM2high	cell447
7.012082567	-8.053838196	Macrophages	RRM2high	cell448
10.92492389	-7.392400208	Monocytes	RRM2high	cell449
5.588366022	-7.308918419	Macrophages	RRM2high	cell450
4.351251592	-7.157307568	Macrophages	RRM2high	cell451
7.539246549	-8.017963353	Macrophages	RRM2high	cell452
3.922054758	-7.289143029	Macrophages	RRM2high	cell453
3.730932226	-7.863063756	Macrophages	RRM2high	cell454
9.509570112	-6.849767628	Monocytes	RRM2high	cell455
9.178758611	-7.211459103	Monocytes	RRM2high	cell456
4.126950254	-8.222007218	Macrophages	RRM2high	cell457
5.296304216	-7.278228226	Macrophages	RRM2high	cell458
8.114896764	-7.559766236	Macrophages	RRM2high	cell459
9.026724806	-7.420614186	Monocytes	RRM2high	cell460
9.636026373	-6.452000561	Monocytes	RRM2high	cell461
6.343530168	-4.925877514	DCs	RRM2high	cell462
4.687874784	-6.868789616	Macrophages	RRM2high	cell463
3.703421583	-6.904431286	Macrophages	RRM2high	cell464
11.23372649	-6.634042683	Monocytes	RRM2high	cell465
5.232082834	-6.83688921	Macrophages	RRM2high	cell466
-6.105595599	0.698760268	nonMalignant	RRM2high	cell467
6.686950674	-8.261867466	Macrophages	RRM2high	cell468
6.635718336	-7.942959252	Macrophages	RRM2high	cell469
9.491520872	-7.35945982	Monocytes	RRM2high	cell470
5.103712549	-7.125987473	Macrophages	RRM2high	cell471
8.629656782	-6.879165116	Monocytes	RRM2high	cell472
3.849879255	-7.923503342	Macrophages	RRM2high	cell473
4.955271234	-10.06593651	Macrophages	RRM2high	cell474
5.702622881	-7.608670655	Macrophages	RRM2high	cell475
4.847305288	-6.954201642	Macrophages	RRM2high	cell476
3.901801576	-7.980677071	Macrophages	RRM2high	cell477
-5.744447241	0.782157239	nonMalignant	RRM2high	cell478
8.077498426	-7.931771699	Macrophages	RRM2high	cell479
6.820194235	-5.708701077	DCs	RRM2high	cell480
3.635366907	-6.985596123	Macrophages	RRM2high	cell481
4.612997999	-6.936225834	Macrophages	RRM2high	cell482
8.745564451	-6.685800019	Monocytes	RRM2high	cell483
-5.865058909	0.310232934	nonMalignant	RRM2high	cell484
